                 pdb     free_param_best         sp_cor_best                nres
              132L_A              -2.800              -0.960                 124
              13PK_A              -3.500              -0.957                 415
              1A26_A              -3.300              -0.937                 351
              1A2T_A              -2.900              -0.944                 134
              1A4L_A              -3.500              -0.950                 348
              1A65_A              -3.700              -0.926                 504
              1A8H_A              -3.600              -0.941                 500
              1A8S_A              -3.500              -0.956                 273
              1AF7_A              -3.000              -0.934                 274
              1AGM_A              -3.500              -0.930                 470
              1AGY_A              -2.900              -0.949                 197
              1AH7_A              -3.300              -0.945                 245
              1AJ0_A              -3.300              -0.947                 282
              1AK0_A              -3.000              -0.947                 264
              1AKO_A              -3.300              -0.953                 268
              1AMY_A              -3.300              -0.930                 403
              1AQ2_A              -3.600              -0.937                 534
              1AQL_A              -3.600              -0.930                 532
              1AST_A              -3.200              -0.935                 200
              1B04_A              -3.400              -0.935                 310
              1B2R_A              -3.400              -0.940                 295
              1BBS_A              -3.300              -0.933                 331
              1BF2_A              -3.500              -0.912                 750
              1BG0_A              -3.400              -0.936                 356
              1BH2_A              -3.500              -0.939                 315
              1BOL_A              -2.900              -0.922                 222
              1BP2_A              -2.500              -0.937                 123
              1BQC_A              -3.300              -0.940                 302
              1BS0_A              -3.200              -0.935                 383
              1BS4_A              -2.700              -0.943                 168
              1BS9_A              -2.800              -0.946                 207
              1BT1_A              -3.300              -0.929                 336
              1BU7_A              -3.400              -0.939                 455
              1BVV_A              -2.900              -0.931                 185
              1BVZ_A              -3.500              -0.927                 585
              1BWL_A              -3.600              -0.944                 399
              1BWZ_A              -3.100              -0.945                 274
              1BYA_A              -3.500              -0.929                 491
              1BZC_A              -3.200              -0.956                 297
              1C82_A              -3.500              -0.930                 719
              1CA2_A              -3.200              -0.938                 256
              1CB8_A              -3.500              -0.931                 674
              1CBX_A              -3.000              -0.935                 307
              1CDG_A              -3.600              -0.924                 686
              1CEL_A              -3.400              -0.936                 433
              1CHD_A              -3.000              -0.939                 198
              1CHK_B              -3.100              -0.947                 238
              1CM0_A              -3.100              -0.954                 162
              1CNS_A              -3.200              -0.922                 243
              1COY_A              -3.700              -0.933                 501
              1CQQ_A              -2.800              -0.967                 180
              1CVR_A              -3.600              -0.939                 432
              1CWY_A              -3.500              -0.936                 500
              1CZ1_A              -3.400              -0.941                 394
              1CZF_A              -3.200              -0.926                 335
              1D1Q_A              -2.600              -0.947                 159
              1D4C_A              -3.400              -0.940                 570
              1D6O_A              -2.900              -0.949                 107
              1DDJ_A              -2.700              -0.944                 247
              1DGK_N              -3.500              -0.945                 898
              1DGS_A              -3.400              -0.937                 581
              1DIN_A              -3.300              -0.954                 232
              1DNP_A              -3.600              -0.938                 469
              1DVE_A              -3.000              -0.944                 214
              1E0C_A              -3.100              -0.936                 270
              1E1A_A              -3.500              -0.955                 312
              1E6E_A              -3.400              -0.941                 457
              1EB6_A              -2.500              -0.942                 177
