                 pdb     free_param_best         sp_cor_best                nres
              132L_A               9.500              -0.666                 124
              13PK_A              25.000              -0.711                 415
              1A26_A              15.300              -0.694                 351
              1A2T_A               7.300              -0.640                 134
              1A4L_A              10.600              -0.757                 348
              1A65_A              11.700              -0.647                 504
              1A8H_A              12.500              -0.353                 500
              1A8S_A              27.200              -0.551                 273
              1AF7_A              17.900              -0.698                 274
              1AGM_A               9.800              -0.621                 470
              1AGY_A              10.100              -0.716                 197
              1AH7_A              14.300              -0.711                 245
              1AJ0_A              34.700              -0.598                 282
              1AK0_A              15.100              -0.754                 264
              1AKO_A              10.800              -0.555                 268
              1AMY_A              20.200              -0.570                 403
              1AQ2_A              22.100              -0.723                 534
              1AQL_A               9.600              -0.601                 532
              1AST_A              14.000              -0.677                 200
              1B04_A               9.100              -0.531                 310
              1B2R_A              24.100              -0.657                 295
              1BBS_A              10.800              -0.655                 331
              1BF2_A              33.600              -0.535                 750
              1BG0_A              19.500              -0.712                 356
              1BH2_A              26.300              -0.669                 315
              1BOL_A              10.300              -0.635                 222
              1BP2_A              13.100              -0.713                 123
              1BQC_A              24.200              -0.683                 302
              1BS0_A               9.100              -0.581                 383
              1BS4_A              12.200              -0.603                 168
              1BS9_A              10.800              -0.613                 207
              1BT1_A              11.900              -0.624                 336
              1BU7_A               9.900              -0.511                 455
              1BVV_A              30.400              -0.583                 185
              1BVZ_A              13.800              -0.587                 585
              1BWL_A              11.300              -0.618                 399
              1BWZ_A              20.900              -0.678                 274
              1BYA_A              10.100              -0.637                 491
              1BZC_A              14.200              -0.695                 297
              1C82_A              14.300              -0.690                 719
              1CA2_A               8.700              -0.735                 256
              1CB8_A              12.600              -0.702                 674
              1CBX_A              10.400              -0.618                 307
              1CDG_A              14.300              -0.513                 686
              1CEL_A              10.000              -0.670                 433
              1CHD_A               8.100              -0.544                 198
              1CHK_B               9.000              -0.611                 238
              1CM0_A              23.300              -0.575                 162
              1CNS_A               9.400              -0.666                 243
              1COY_A              10.800              -0.625                 501
              1CQQ_A              27.800              -0.462                 180
              1CVR_A              13.300              -0.503                 432
              1CWY_A              17.100              -0.656                 500
              1CZ1_A              15.200              -0.744                 394
              1CZF_A               9.800              -0.563                 335
              1D1Q_A               8.900              -0.687                 159
              1D4C_A              13.700              -0.694                 570
              1D6O_A               7.600              -0.600                 107
              1DDJ_A              15.100              -0.698                 247
              1DGK_N               9.500              -0.585                 898
              1DGS_A               9.300              -0.488                 581
              1DIN_A               9.300              -0.640                 232
              1DNP_A              15.900              -0.696                 469
              1DVE_A              12.000              -0.702                 214
              1E0C_A               9.100              -0.634                 270
              1E1A_A              10.800              -0.605                 312
              1E6E_A              24.100              -0.736                 457
              1EB6_A              14.600              -0.668                 177
              1EH5_A              11.000              -0.730                 279
              1EUG_A              10.000              -0.706                 225
              1EUU_A              28.800              -0.511                 601
              1EX1_A              19.400              -0.607                 602
              1EXN_A              10.000              -0.417                 267
              1EXP_A              18.600              -0.663                 312
              1EYP_A              11.900              -0.485                 212
              1FF3_A              13.300              -0.516                 210
              1FGH_A              26.900              -0.757                 753
              1FHL_A              17.900              -0.654                 334
              1FOA_A              18.200              -0.759                 342
              1G24_A              18.000              -0.622                 210
              1G6T_A              26.000              -0.751                 427
              1G8O_A              10.100              -0.652                 287
              1GA8_A              24.000              -0.735                 271
              1GAL_A              27.100              -0.617                 581
              1GCU_A              13.700              -0.555                 292
              1GOG_A              10.800              -0.658                 639
              1GP5_A              11.000              -0.630                 346
              1GQ8_A               8.600              -0.601                 318
              1H19_A              15.100              -0.752                 610
              1H3I_A              10.000              -0.379                 293
              1HKA_A              35.300              -0.573                 158
              1HPL_A              11.100              -0.709                 449
              1HPM_A              28.300              -0.621                 378
              1HQC_A              22.100              -0.397                 314
              1I1E_A              10.500              -0.461                1287
              1I1I_P              41.900              -0.596                 665
              1I9A_A              19.500              -0.657                 175
              1IDJ_A              10.500              -0.611                 359
              1IG8_A              18.500              -0.704                 469
              1IM5_A               9.300              -0.700                 179
