            pdb_name            exp_best             sp_best          sp_default             sp_diff                nres
              132L_A              -1.000              -0.566              -0.562               0.005                 124
              13PK_A              -1.800              -0.572              -0.571               0.001                 415
              1A26_A              -2.600              -0.692              -0.685               0.006                 351
              1A2T_A               2.000               0.722              -0.680               0.041                 134
              1A4L_A              -2.200              -0.561              -0.560               0.001                 348
              1A65_A              -2.400              -0.740              -0.737               0.004                 504
              1A8H_A              -2.300              -0.680              -0.678               0.002                 500
              1A8S_A              28.700               0.662              -0.602               0.060                 273
              1AF7_A              -1.500              -0.810              -0.801               0.009                 274
              1AGM_A              -2.100              -0.769              -0.769               0.000                 470
              1AGY_A              -0.600              -0.832              -0.817               0.015                 197
              1AH7_A              -1.500              -0.855              -0.851               0.004                 245
              1AJ0_A              -1.900              -0.605              -0.604               0.000                 282
              1AK0_A              -1.000              -0.701              -0.695               0.006                 264
              1AKO_A              -1.500              -0.817              -0.813               0.004                 268
              1AMY_A              -1.400              -0.582              -0.579               0.004                 403
              1AQ2_A              -2.400              -0.784              -0.782               0.002                 534
              1AQL_A              -1.900              -0.550              -0.550               0.000                 532
              1AST_A              -1.600              -0.480              -0.479               0.002                 200
              1B04_A              -2.500              -0.580              -0.573               0.007                 310
              1B2R_A              -2.300              -0.771              -0.768               0.003                 295
              1BBS_A              -1.500              -0.487              -0.480               0.007                 330
              1BF2_A              -1.600              -0.845              -0.841               0.004                 750
              1BG0_A              -0.600              -0.768              -0.742               0.026                 356
              1BH2_A              -2.000              -0.714              -0.714               0.000                 315
              1BOL_A              -1.400              -0.642              -0.638               0.004                 222
              1BP2_A              -1.500              -0.655              -0.644               0.011                 123
              1BQC_A               2.200               0.781              -0.741               0.040                 302
              1BS0_A              -3.000              -0.542              -0.524               0.018                 383
              1BS4_A              -1.500              -0.742              -0.732               0.009                 168
              1BS9_A              -2.700              -0.771              -0.755               0.016                 207
              1BT1_A              -1.900              -0.674              -0.674               0.000                 336
              1BU7_A              -2.400              -0.614              -0.612               0.002                 455
              1BVV_A              -1.400              -0.800              -0.791               0.009                 185
              1BVZ_A              -1.100              -0.679              -0.667               0.012                 585
              1BWL_A              -2.000              -0.648              -0.648               0.000                 399
              1BWZ_A              -4.000              -0.480              -0.391               0.090                 274
              1BYA_A              -2.700              -0.603              -0.593               0.010                 491
              1BZC_A              -2.000              -0.657              -0.657               0.000                 297
              1C82_A              -1.200              -0.802              -0.785               0.017                 719
              1CA2_A               3.800               0.871              -0.839               0.032                 256
              1CB8_A              -1.200              -0.816              -0.801               0.016                 674
              1CBX_A               0.300               0.418              -0.409               0.009                 307
              1CDG_A              -1.900              -0.695              -0.694               0.000                 686
              1CEL_A              -1.600              -0.679              -0.677               0.002                 433
              1CHD_A              -2.100              -0.755              -0.755               0.001                 198
              1CHK_B              -1.900              -0.412              -0.411               0.001                 238
              1CM0_A              -1.300              -0.822              -0.816               0.005                 162
              1CNS_A              -2.100              -0.752              -0.752               0.000                 243
              1COY_A              -2.300              -0.745              -0.743               0.002                 501
              1CQQ_A              -3.300              -0.638              -0.623               0.014                 180
              1CVR_A              -1.900              -0.880              -0.879               0.001                 432
              1CWY_A              -2.500              -0.732              -0.724               0.007                 500
              1CZ1_A              -1.800              -0.858              -0.858               0.000                 394
              1CZF_A              -1.600              -0.710              -0.707               0.003                 335
              1D1Q_A              -1.400              -0.748              -0.745               0.004                 159
              1D4C_A              -0.900              -0.762              -0.743               0.019                 570
              1D6O_A              -2.600              -0.640              -0.628               0.012                 107
