                 pdb     free_param_best         sp_cor_best                nres      sp_cor_dist_Bf     sp_cor_wcn_dist       sp_cor_wcn_bf
              132L_A              -2.700              -0.550                 124              0.5894             -0.7176             -0.7322
              13PK_A              -1.600              -0.545                 415              0.4550             -0.8627             -0.6380
              1A26_A              -1.700              -0.529                 351              0.5986             -0.9237             -0.7152
              1A2T_A              -3.900              -0.244                 134              0.7073             -0.8135             -0.6755
              1A4L_A              -2.200              -0.370                 348              0.4989             -0.9447             -0.5765
              1A65_A              -1.800              -0.462                 504              0.6045             -0.9421             -0.6930
              1A8H_A              -1.800              -0.669                 500              0.3962             -0.7802             -0.6936
              1A8S_A              29.200               0.265                 273              0.5637              0.9615              0.6020
              1AF7_A              -2.300              -0.606                 274              0.6813             -0.8247             -0.8129
              1AGM_A               8.800              -0.522                 470              0.6706              0.9804              0.5813
              1AGY_A              -2.500              -0.329                 197              0.7763             -0.9161             -0.7943
              1AH7_A              -1.700              -0.532                 245              0.7688             -0.9322             -0.8399
              1AJ0_A              29.900               0.239                 282              0.5748              0.9320              0.6066
              1AK0_A              -2.000              -0.302                 264              0.7234             -0.9266             -0.7487
              1AKO_A              -0.700              -0.471                 268              0.7054             -0.9906             -0.7445
              1AMY_A              -2.300              -0.517                 403              0.5529             -0.8093             -0.7004
              1AQ2_A              -1.800              -0.585                 534              0.6163             -0.8986             -0.7559
              1AQL_A              -2.100              -0.423                 532              0.5633             -0.9040             -0.6586
              1AST_A              -1.900              -0.364                 200              0.5443             -0.9089             -0.6222
              1B04_A              -1.800              -0.409                 310              0.4353             -0.8738             -0.5593
              1B2R_A              -2.200              -0.592                 295              0.6401             -0.9095             -0.7712
              1BBS_A              -2.300              -0.439                 331              0.6085             -0.7956             -0.6952
              1BF2_A              -1.900              -0.621                 750              0.6237             -0.8094             -0.7901
              1BG0_A              29.700              -0.357                 356              0.7262              0.9256              0.5793
              1BH2_A              -1.800              -0.469                 315              0.5248             -0.8696             -0.6534
              1BOL_A              -1.100              -0.456                 222              0.5293             -0.9274             -0.6357
              1BP2_A              -1.600              -0.456                 123              0.5605             -0.8517             -0.6755
              1BQC_A               1.700               0.128                 302              0.7931              0.9999              0.7942
              1BS0_A              -1.700              -0.450                 383              0.4443             -0.9256             -0.5638
              1BS4_A              -2.400              -0.408                 168              0.7473             -0.9128             -0.7928
              1BS9_A              -2.300              -0.651                 207              0.5187             -0.8992             -0.7100
              1BT1_A              -1.000              -0.269                 336              0.6499             -0.9852             -0.6754
              1BU7_A              -0.800              -0.465                 455              0.4976             -0.9753             -0.5745
              1BVV_A              -2.200              -0.424                 185              0.7091             -0.9256             -0.7696
              1BVZ_A              -2.500              -0.292                 585              0.5973             -0.7828             -0.6134
              1BWL_A              -1.700              -0.491                 399              0.5843             -0.9396             -0.6853
              1BWZ_A              -2.200              -0.618                 274              0.1301             -0.8617             -0.4229
