                 pdb     free_param_best         sp_cor_best                nres      sp_cor_dist_Bf     sp_cor_wcn_dist       sp_cor_wcn_bf
              132L_A               9.700              -0.561                 124              0.5894             -0.7241             -0.7391
              13PK_A              13.800              -0.543                 415              0.4550             -0.7139             -0.6633
              1A26_A              12.300              -0.570                 351              0.5986             -0.7834             -0.7528
              1A2T_A               5.500              -0.279                 134              0.7073             -0.5640             -0.5615
              1A4L_A               6.800              -0.397                 348              0.4989             -0.7070             -0.5964
              1A65_A              11.700              -0.476                 504              0.6045             -0.8357             -0.7134
              1A8H_A              13.000              -0.650                 500              0.3962             -0.5437             -0.7163
              1A8S_A              44.000              -0.220                 273              0.5637             -0.7142             -0.5296
              1AF7_A              16.700              -0.582                 274              0.6813             -0.8388             -0.8033
              1AGM_A              19.900              -0.448                 470              0.6706             -0.9418             -0.7433
              1AGY_A               5.100              -0.346                 197              0.7763             -0.4837             -0.5662
              1AH7_A              10.700              -0.500                 245              0.7688             -0.8298             -0.8164
              1AJ0_A              11.200              -0.213                 282              0.5748             -0.8779             -0.5882
              1AK0_A              14.400              -0.311                 264              0.7234             -0.9108             -0.7476
              1AKO_A              10.400              -0.442                 268              0.7054             -0.9133             -0.7719
              1AMY_A              13.200              -0.500                 403              0.5529             -0.7064             -0.6852
              1AQ2_A              12.600              -0.592                 534              0.6163             -0.7637             -0.7718
              1AQL_A              10.800              -0.441                 532              0.5633             -0.7559             -0.6643
              1AST_A              10.700              -0.375                 200              0.5443             -0.7906             -0.6227
              1B04_A              10.100              -0.424                 310              0.4353             -0.6662             -0.5744
              1B2R_A              10.100              -0.553                 295              0.6401             -0.8065             -0.7674
              1BBS_A               9.900              -0.438                 331              0.6085             -0.6224             -0.6509
              1BF2_A              14.400              -0.621                 750              0.6237             -0.5996             -0.7627
              1BG0_A              46.800               0.330                 356              0.7262             -0.9082             -0.5647
              1BH2_A              13.100              -0.479                 315              0.5248             -0.7318             -0.6621
              1BOL_A              14.000              -0.476                 222              0.5293             -0.7994             -0.6657
              1BP2_A              13.100              -0.456                 123              0.5605             -0.8371             -0.6758
              1BQC_A              41.800               0.240                 302              0.7931             -0.8691             -0.6171
              1BS0_A              11.100              -0.443                 383              0.4443             -0.7905             -0.5944
              1BS4_A               7.200              -0.395                 168              0.7473             -0.7646             -0.7406
              1BS9_A              10.200              -0.592                 207              0.5187             -0.8767             -0.6984
              1BT1_A              12.900              -0.318                 336              0.6499             -0.9296             -0.6931
              1BU7_A              11.400              -0.434                 455              0.4976             -0.7741             -0.6236
              1BVV_A               8.100              -0.434                 185              0.7091             -0.7671             -0.7403
              1BVZ_A              10.800              -0.327                 585              0.5973             -0.6024             -0.5693
              1BWL_A              15.800              -0.467                 399              0.5843             -0.9008             -0.6908
              1BWZ_A               8.200              -0.621                 274              0.1301             -0.6945             -0.5331
              1BYA_A              10.700              -0.490                 491              0.4899             -0.7826             -0.6492
              1BZC_A              16.700              -0.418                 297              0.5965             -0.9241             -0.6795
              1C82_A               9.200              -0.595                 719              0.6503             -0.5076             -0.7193
              1CA2_A              25.800               0.195                 256              0.8261             -0.9937             -0.8086
              1CB8_A              23.000              -0.555                 674              0.6766             -0.7888             -0.7848
              1CBX_A               8.900              -0.343                 307              0.5823             -0.7710             -0.6266
              1CDG_A              11.400              -0.499                 686              0.5410             -0.6446             -0.6697
              1CEL_A              47.400               0.370                 433              0.5622             -0.9165             -0.3928
              1CHD_A               9.800              -0.309                 198              0.6928             -0.9216             -0.7250
              1CHK_B               7.500              -0.377                 238              0.2873             -0.4421             -0.4506
              1CM0_A               6.500              -0.291                 162              0.7732             -0.7363             -0.6942
              1CNS_A               9.200              -0.430                 243              0.5978             -0.7778             -0.6814
              1COY_A               9.700              -0.533                 501              0.5904             -0.7421             -0.7265
              1CQQ_A               8.300              -0.345                 180              0.6286             -0.8743             -0.6798
              1CVR_A              23.200              -0.672                 432              0.7250             -0.9430             -0.8377
              1CWY_A              22.900              -0.605                 500              0.5159             -0.9309             -0.6697
