                 pdb     free_param_best         sp_cor_best                nres      sp_cor_dist_Bf     sp_cor_wcn_dist       sp_cor_wcn_bf
              132L_A               2.400              -0.561                 124              0.5894             -0.7048             -0.7368
              13PK_A               5.200              -0.546                 415              0.4550             -0.7941             -0.6565
              1A26_A               4.600              -0.556                 351              0.5986             -0.8723             -0.7400
              1A2T_A               1.000              -0.225                 134              0.7073             -0.6606             -0.5869
              1A4L_A               4.400              -0.381                 348              0.4989             -0.9437             -0.5799
              1A65_A               4.800              -0.473                 504              0.6045             -0.9127             -0.7058
              1A8H_A               5.600              -0.670                 500              0.3962             -0.6912             -0.7184
              1A8S_A               3.800              -0.116                 273              0.5637             -0.9658             -0.5693
              1AF7_A               4.000              -0.601                 274              0.6813             -0.7928             -0.8084
              1AGM_A              30.600              -0.471                 470              0.6706             -0.9922             -0.7090
              1AGY_A               1.800              -0.360                 197              0.7763             -0.8506             -0.7796
              1AH7_A               5.000              -0.512                 245              0.7688             -0.9144             -0.8356
              1AJ0_A               5.200              -0.169                 282              0.5748             -0.9537             -0.5897
              1AK0_A               5.200              -0.312                 264              0.7234             -0.9353             -0.7527
              1AKO_A               3.400              -0.472                 268              0.7054             -0.9504             -0.7745
              1AMY_A               4.400              -0.510                 403              0.5529             -0.7755             -0.6970
              1AQ2_A               4.400              -0.586                 534              0.6163             -0.8293             -0.7691
              1AQL_A               4.200              -0.432                 532              0.5633             -0.8636             -0.6665
              1AST_A               3.000              -0.375                 200              0.5443             -0.8322             -0.6274
              1B04_A               3.800              -0.428                 310              0.4353             -0.7816             -0.5805
              1B2R_A               3.600              -0.594                 295              0.6401             -0.8774             -0.7805
              1BBS_A               3.200              -0.445                 331              0.6085             -0.7134             -0.6814
              1BF2_A               3.400              -0.632                 750              0.6237             -0.6101             -0.7722
              1BG0_A              27.000              -0.305                 356              0.7262             -0.9884             -0.7496
              1BH2_A               3.400              -0.473                 315              0.5248             -0.7366             -0.6589
              1BOL_A               6.600              -0.474                 222              0.5293             -0.8975             -0.6524
              1BP2_A               5.200              -0.461                 123              0.5605             -0.8605             -0.6769
              1BQC_A               3.200              -0.084                 302              0.7931             -0.9522             -0.7709
              1BS0_A               3.600              -0.447                 383              0.4443             -0.8416             -0.5902
              1BS4_A               2.000              -0.405                 168              0.7473             -0.8377             -0.7731
              1BS9_A               3.000              -0.646                 207              0.5187             -0.8897             -0.7137
              1BT1_A               5.000              -0.284                 336              0.6499             -0.9625             -0.6840
              1BU7_A              13.200              -0.461                 455              0.4976             -0.9777             -0.5707
              1BVV_A               2.400              -0.420                 185              0.7091             -0.8573             -0.7605
              1BVZ_A               3.200              -0.312                 585              0.5973             -0.6744             -0.5877
              1BWL_A               3.600              -0.489                 399              0.5843             -0.8779             -0.7031
              1BWZ_A               3.000              -0.617                 274              0.1301             -0.7806             -0.4841
              1BYA_A               3.200              -0.502                 491              0.4899             -0.8424             -0.6484
              1BZC_A              10.200              -0.400                 297              0.5965             -0.9697             -0.6569
              1C82_A               3.200              -0.615                 719              0.6503             -0.6095             -0.7669
              1CA2_A               3.200              -0.142                 256              0.8261             -0.9327             -0.7993
              1CB8_A              45.200              -0.598                 674              0.6766             -0.9777             -0.7539
              1CBX_A               1.600              -0.361                 307              0.5823             -0.7031             -0.6182
