                 pdb     free_param_best         sp_cor_best                nres
              132L_A               6.400              -0.738                 124
              13PK_A               8.600              -0.663                 415
              1A26_A               9.000              -0.750                 351
              1A2T_A              16.800              -0.716                 134
              1A4L_A               5.400              -0.596                 348
              1A65_A               9.600              -0.710                 504
              1A8H_A               9.400              -0.725                 500
              1A8S_A               8.000              -0.571                 273
              1AF7_A              12.400              -0.809                 274
              1AGM_A              12.000              -0.748                 470
              1AGY_A              19.600              -0.788                 197
              1AH7_A              10.600              -0.831                 245
              1AJ0_A              11.600              -0.591                 282
              1AK0_A              10.800              -0.752                 264
              1AKO_A               6.400              -0.779                 268
              1AMY_A              12.200              -0.692                 403
              1AQ2_A              10.200              -0.770                 534
              1AQL_A               8.800              -0.668                 532
              1AST_A               7.400              -0.626                 200
              1B04_A               8.000              -0.585                 310
              1B2R_A               7.400              -0.783                 295
              1BBS_A              13.800              -0.689                 331
              1BF2_A              11.400              -0.775                 750
              1BG0_A              20.000              -0.753                 356
              1BH2_A              10.200              -0.659                 315
              1BOL_A               9.400              -0.665                 222
              1BP2_A              10.600              -0.678                 123
              1BQC_A              49.400              -0.793                 302
              1BS0_A               6.400              -0.598                 383
              1BS4_A               7.800              -0.786                 168
              1BS9_A               4.600              -0.737                 207
              1BT1_A              10.000              -0.686                 336
              1BU7_A               8.200              -0.624                 455
              1BVV_A               7.800              -0.761                 185
              1BVZ_A              14.600              -0.630                 585
              1BWL_A               7.400              -0.704                 399
              1BWZ_A               5.200              -0.519                 274
              1BYA_A               7.200              -0.653                 491
              1BZC_A               9.200              -0.677                 297
              1C82_A              18.000              -0.783                 719
              1CA2_A              48.800              -0.826                 256
              1CB8_A              20.800              -0.797                 674
              1CBX_A               5.800              -0.643                 307
              1CDG_A               8.200              -0.678                 686
              1CEL_A              10.200              -0.641                 433
              1CHD_A               6.000              -0.731                 198
              1CHK_B               8.200              -0.442                 238
              1CM0_A              13.800              -0.787                 162
              1CNS_A               6.800              -0.691                 243
              1COY_A               6.400              -0.733                 501
              1CQQ_A               6.400              -0.682                 180
              1CVR_A              12.200              -0.864                 432
              1CWY_A               8.800              -0.723                 500
              1CZ1_A               7.400              -0.844                 394
              1CZF_A               9.600              -0.685                 335
              1D1Q_A               7.600              -0.784                 159
              1D4C_A              18.600              -0.708                 570
              1D6O_A               5.800              -0.681                 107
              1DDJ_A               7.200              -0.739                 247
              1DGK_N              15.200              -0.790                 898
              1DGS_A               8.600              -0.591                 581
              1DIN_A               6.600              -0.762                 232
              1DNP_A              11.200              -0.705                 469
              1DVE_A              16.400              -0.583                 214
              1E0C_A               6.600              -0.696                 270
              1E1A_A               7.600              -0.836                 312
              1E6E_A               8.600              -0.704                 457
              1EB6_A               6.400              -0.781                 177
              1EH5_A              44.400              -0.794                 279
              1EUG_A               7.800              -0.744                 225
              1EUU_A               8.000              -0.567                 601
              1EX1_A               7.400              -0.723                 602
              1EXN_A               5.800              -0.505                 267
              1EXP_A              11.000              -0.698                 312
              1EYP_A               6.200              -0.475                 212
              1FF3_A               7.200              -0.690                 210
              1FGH_A              10.600              -0.815                 753
              1FHL_A               7.200              -0.585                 334
              1FOA_A               7.200              -0.652                 342
              1G24_A              18.000              -0.551                 210
              1G6T_A              14.400              -0.777                 427
              1G8O_A               7.800              -0.673                 287
              1GA8_A              19.400              -0.757                 271
              1GAL_A              22.400              -0.690                 581
              1GCU_A              13.800              -0.780                 292
              1GOG_A               9.800              -0.760                 639
              1GP5_A              10.400              -0.758                 346
              1GQ8_A               7.000              -0.764                 318
              1H19_A               8.000              -0.707                 610
              1H3I_A               6.800              -0.600                 293
              1HKA_A              10.600              -0.670                 158
              1HPL_A              19.200              -0.776                 449
              1HPM_A              12.200              -0.784                 378
              1HQC_A               5.200              -0.577                 314
              1I1E_A               9.400              -0.700                1287
              1I1I_P               9.600              -0.664                 665
              1I9A_A               5.800              -0.390                 175
              1IDJ_A               9.800              -0.757                 359
              1IG8_A               7.800              -0.666                 469
              1IM5_A               7.000              -0.712                 179
              1INP_A              12.200              -0.765                 400
              1IU4_A               9.800              -0.710                 331
              1J00_A              35.200              -0.624                 176
              1J09_A              14.600              -0.623                 468
              1JH6_A               7.600              -0.676                 181
              1JMS_A               8.600              -0.641                 360
              1JOA_A               6.200              -0.505                 446
              1JS4_A               8.800              -0.717                 605
              1K30_A               8.800              -0.674                 363
              1KL7_A              15.600              -0.567                 503
              1KNP_A              47.000              -0.649                 529
              1L1D_A              11.000              -0.709                 142
              1L1L_A              10.000              -0.697                 717
              1L6P_A               8.000              -0.703                 121
              1L7N_A               5.000              -0.692                 207
              1L7Q_A              14.800              -0.703                 571
              1L8T_A              10.600              -0.647                 263
              1L9X_A               7.800              -0.754                 288
              1LBA_A              17.400              -0.709                 146
              1LDM_A              50.000              -0.642                 329
              1LJL_A              16.600              -0.779                 130
              1LVH_A              17.000              -0.744                 220
              1M53_A               8.000              -0.629                 556
              1MBB_A              10.600              -0.729                 340
              1MJ9_A              18.000              -0.778                 273
              1MLA_A              10.600              -0.644                 305
              1MRQ_A               7.400              -0.661                 323
              1MUD_A               5.000              -0.593                 225
              1MUG_A              13.400              -0.486                 165
              1NDH_A              10.600              -0.598                 270
              1NDI_A              13.200              -0.539                 596
              1NLU_A               7.600              -0.788                 368
              1O8A_A               9.200              -0.699                 574
              1O98_A               8.400              -0.756                 509
              1OG1_A               5.600              -0.701                 223
              1OGO_X              12.800              -0.756                 572
              1OJ4_A               8.000              -0.750                 277
              1ONR_A              23.000              -0.738                 316
              1OPM_A              11.000              -0.629                 310
              1OXA_A              13.600              -0.788                 403
              1OYG_A               5.200              -0.612                 440
              1P1X_A              11.800              -0.801                 250
              1P3D_A              10.800              -0.537                 449
              1P5D_X               6.200              -0.627                 454
              1PA9_A               8.200              -0.780                 279
