                 pdb     free_param_best         sp_cor_best                nres
              132L_A               6.000              -0.571                 124
              13PK_A               5.800              -0.583                 415
              1A26_A               4.200              -0.696                 351
              1A2T_A              23.000              -0.720                 134
              1A4L_A               4.000              -0.574                 348
              1A65_A               4.000              -0.747                 504
              1A8H_A               5.200              -0.692                 500
              1A8S_A              48.600              -0.611                 273
              1AF7_A               6.800              -0.814                 274
              1AGM_A               5.000              -0.771                 470
              1AGY_A              28.000              -0.831                 197
              1AH7_A               5.800              -0.853                 245
              1AJ0_A               5.000              -0.600                 282
              1AK0_A               8.000              -0.703                 264
              1AKO_A               5.400              -0.822                 268
              1AMY_A               8.400              -0.578                 403
              1AQ2_A               4.800              -0.792                 534
              1AQL_A               5.600              -0.554                 532
              1AST_A               6.400              -0.487                 200
              1B04_A               4.200              -0.581                 310
              1B2R_A               3.800              -0.779                 295
              1BBS_A               6.000              -0.498                 331
              1BF2_A               9.400              -0.836                 750
              1BG0_A              13.600              -0.769                 356
              1BH2_A               5.200              -0.711                 315
              1BOL_A               6.600              -0.651                 222
              1BP2_A               5.200              -0.652                 123
              1BQC_A              42.600              -0.778                 302
              1BS0_A               3.000              -0.553                 383
              1BS4_A              14.400              -0.737                 168
              1BS9_A               2.800              -0.786                 207
              1BT1_A               4.600              -0.674                 336
              1BU7_A               4.600              -0.625                 455
              1BVV_A               5.400              -0.800                 185
              1BVZ_A               9.200              -0.675                 585
              1BWL_A               5.200              -0.658                 399
              1BWZ_A               2.000              -0.512                 274
              1BYA_A               3.800              -0.607                 491
              1BZC_A               4.400              -0.669                 297
              1C82_A              12.200              -0.803                 719
              1CA2_A              49.400              -0.864                 256
              1CB8_A              11.600              -0.819                 674
              1CBX_A              36.200              -0.419                 307
              1CDG_A               5.600              -0.694                 686
              1CEL_A               6.000              -0.685                 433
              1CHD_A               3.800              -0.764                 198
              1CHK_B               5.400              -0.415                 238
              1CM0_A               9.600              -0.815                 162
              1CNS_A               4.400              -0.755                 243
              1COY_A               3.800              -0.746                 501
              1CQQ_A               2.600              -0.636                 180
              1CVR_A               5.600              -0.881                 432
              1CWY_A               4.400              -0.748                 500
              1CZ1_A               4.800              -0.864                 394
              1CZF_A               7.400              -0.715                 335
              1D1Q_A               6.000              -0.751                 159
              1D4C_A              12.600              -0.761                 570
              1D6O_A               2.800              -0.646                 107
              1DDJ_A               5.600              -0.640                 247
              1DGK_N               6.800              -0.775                 898
              1DGS_A               7.400              -0.534                 581
              1DIN_A              27.400              -0.705                 232
              1DNP_A              10.400              -0.745                 469
              1DVE_A              27.200              -0.518                 214
              1E0C_A               4.600              -0.669                 270
              1E1A_A               3.600              -0.866                 312
              1E6E_A               4.000              -0.695                 457
              1EB6_A              18.800              -0.778                 177
              1EH5_A              49.200              -0.812                 279
              1EUG_A               5.000              -0.641                 225
              1EUU_A               4.000              -0.515                 601
              1EX1_A               3.600              -0.703                 602
              1EXN_A               2.200              -0.373                 267
              1EXP_A              19.200              -0.723                 312
              1EYP_A               2.400              -0.457                 212
              1FF3_A               5.000              -0.656                 210
              1FGH_A               6.600              -0.834                 753
              1FHL_A               8.200              -0.521                 334
              1FOA_A               5.800              -0.670                 342
              1G24_A              11.600              -0.594                 210
              1G6T_A              12.400              -0.751                 427
              1G8O_A               3.400              -0.629                 287
              1GA8_A              20.600              -0.804                 271
              1GAL_A              35.200              -0.746                 581
              1GCU_A               9.600              -0.814                 292
              1GOG_A               6.600              -0.736                 639
              1GP5_A               6.000              -0.775                 346
              1GQ8_A               3.800              -0.777                 318
              1H19_A               4.400              -0.688                 610
              1H3I_A               3.800              -0.598                 293
              1HKA_A               8.600              -0.645                 158
              1HPL_A              12.200              -0.814                 449
              1HPM_A              13.000              -0.828                 378
              1HQC_A               6.600              -0.366                 314
              1I1E_A               4.200              -0.711                1287
              1I1I_P               5.800              -0.682                 665
              1I9A_A               2.400              -0.314                 175
              1IDJ_A               6.200              -0.738                 359
              1IG8_A               3.800              -0.627                 469
              1IM5_A               4.800              -0.699                 179
