"variable","mean","median","sd","min","q1","q3","max"
"asa",0.464641560974698,0.468567900158427,0.0944199851694255,0.12333025391871,0.411026151717984,0.528006451555844,0.684028994071903
"ddgent",0.366823189266163,0.373435988263337,0.0793255488783423,0.108711832416556,0.325946545582209,0.405030307219752,0.582214227291407
"hbe_mean",0.329822952514797,0.333873042375673,0.114389623190506,0.00854348508941793,0.255347683356558,0.4052012315428,0.694092559901192
"hpshh",0.168369577329465,0.165964914357628,0.0684008473292067,-0.0485455139981995,0.128070238053487,0.209793395717437,0.372845800983487
"resvol",-0.058749527672814,-0.0569120029173005,0.0801059004336754,-0.288219030385861,-0.111362239084812,-0.00173143965327637,0.168132585135655
"rsa",0.488671707967566,0.491614918091196,0.0968913129303408,0.146716183024359,0.435667437340648,0.558288679886773,0.706769577741448
"seqent",0.268982451296142,0.283617745788451,0.127634109381269,-0.0846747633162256,0.184318481076359,0.359787589295032,0.540222035684874
"sizeAA",-0.012241485650203,-0.00482142295627422,0.0879245916922657,-0.256808975296161,-0.0663359436568503,0.0433482359658104,0.259129214181692
"sizeSC",-0.012241485650203,-0.00482142295627422,0.0879245916922657,-0.256808975296161,-0.0663359436568503,0.0433482359658104,0.259129214181692
"VAAarea",0.484957511736589,0.495700536037442,0.0978024810259333,0.150308936664654,0.43069054306456,0.544029069695313,0.717295997854876
"VAAeccentricity",0.447047646431932,0.461361578690207,0.0940632679371252,0.116753198849305,0.399777022223227,0.502990456389541,0.651741038956139
"VAAedge_length_total",0.440303583057965,0.448287989347783,0.0895910867205397,0.127615029042382,0.388208068112847,0.494466127806977,0.638811706990608
"VAAfree_volume",0.469257819930478,0.472283293309982,0.0925704646034785,0.148765945629157,0.414920575087047,0.527566772279722,0.699270913699459
"VAAmodified_volume",0.469017140136767,0.475579025512205,0.0960930788476248,0.139069752720526,0.41360804901663,0.529727698227854,0.702635842817497
"VAAnfaces",-0.0907141101998798,-0.0863421975161099,0.0630741579196448,-0.27051657471569,-0.12533354257932,-0.0557155350949601,0.0832654206364358
"VAAvolume",0.468864524239139,0.475181802043823,0.095557595612679,0.139870842454562,0.414846230236833,0.528568826947675,0.703383795799985
"VCAarea",0.485472366547536,0.490398040778915,0.0990001021443287,0.153952550503596,0.428201871778957,0.548685639800673,0.707280787628142
"VCAeccentricity",0.43505597571568,0.442472274893783,0.0928759187857065,0.106692104592951,0.379273015713487,0.495077113050531,0.62536796587576
"VCAedge_length_total",0.445078295178281,0.450236252774769,0.0917102972502717,0.151456388437904,0.389521721510733,0.504901885118282,0.656291884399455
"VCAfree_volume",0.464999661114942,0.47079475446279,0.0932195408023356,0.152910186467721,0.413780665050374,0.523677637471094,0.685722484526358
"VCAmodified_volume",0.471659001574724,0.480716800450126,0.0975064121565396,0.146501778152603,0.416599698895,0.530274473852959,0.69151473419541
"VCAnfaces",-0.118284670690375,-0.116309647439455,0.0622753648434828,-0.307425129695534,-0.166054905465026,-0.0768191596725974,0.0245595669930146
"VCAvolume",0.47183907950062,0.479789125156718,0.09734829938031,0.148700783844829,0.414520208878449,0.531098880041978,0.69413158184624
"VSCarea",0.469262014248099,0.480478919452009,0.0961011803920631,0.126813585546428,0.415227817516418,0.532674211207085,0.719271447105123
"VSCeccentricity",0.440959555946196,0.450864618772421,0.0904247206502263,0.135461728241826,0.390136314269829,0.500338231657193,0.645472953335971
"VSCedge_length_total",0.414348464391859,0.41849138180168,0.0858308770424786,0.10091046123032,0.366618869625191,0.473841471357767,0.63058402662566
"VSCfree_volume",0.450708200032975,0.458180450371087,0.0885961920330632,0.122041540760888,0.402340284880645,0.510465454292006,0.683430085515438
"VSCmodified_volume",0.459520137678928,0.470637590899072,0.0948599637060819,0.120560226616094,0.408215550868752,0.521011381926433,0.704540692964658
"VSCnfaces",-0.10259979324291,-0.100087483405753,0.0571948017331544,-0.235904674182609,-0.140080656702418,-0.0705715155602367,0.0582471909631586
"VSCvolume",0.459348027796655,0.470618968067466,0.0944758203466112,0.121071214395788,0.406821337896373,0.519399631513061,0.7037251752912
"wcnAA",-0.611300637890997,-0.632345536016112,0.129220138520587,-0.850133214347335,-0.701765248160871,-0.554077857768057,-0.138767614343796
"wcnC",-0.650949896462402,-0.671040787544324,0.131417380929298,-0.897171832255804,-0.740807746204181,-0.590751964882611,-0.124971201151115
"wcnCA",-0.630431875040011,-0.649891796171839,0.13085272717955,-0.874161852892478,-0.723024076947999,-0.579667006554171,-0.13772697927583
"wcnCB",-0.600807490292326,-0.615957122345323,0.127321552605597,-0.848916661108869,-0.688076176633068,-0.550385505792371,-0.141815636107055
"wcnN",-0.597549792178065,-0.625126847522537,0.133480649046615,-0.867374564982377,-0.688862432464479,-0.533020256245551,-0.0966784611003865
"wcnO",-0.635895953792067,-0.661277429462407,0.130081032341584,-0.890958038294788,-0.724900257961867,-0.570386075081825,-0.133229654663555
"wcnSC",-0.569745356020975,-0.587882486157735,0.123159156837237,-0.812223775517852,-0.658609379840286,-0.511997417286956,-0.145820184557192
