variable,mean,median,sd,min,q1,q3,max
asa,-0.528927001,-0.537536253,0.07915851,-0.694988304,-0.581483646,-0.484249436,-0.237250501
bfAA,-0.309941523,-0.310071064,0.088827166,-0.535745988,-0.370671476,-0.253285315,-0.101947495
bfC,-0.155487365,-0.157011386,0.079692633,-0.408158189,-0.201417194,-0.106955184,0.063059709
bfCA,-0.184402136,-0.188779682,0.08317896,-0.415876278,-0.235760799,-0.130664393,0.069070781
bfCB,-0.231344806,-0.22622949,0.088641349,-0.472582779,-0.294784268,-0.170541128,0.038648733
bfN,-0.157546484,-0.153344243,0.07484404,-0.340605381,-0.204255873,-0.110335906,0.077917814
bfO,-0.15094484,-0.150800898,0.075720558,-0.372458723,-0.194812921,-0.101647722,0.091796477
bfSC,-0.359368159,-0.35652777,0.092428017,-0.594786078,-0.422970458,-0.298333927,-0.13676089
ddgent,-0.413742602,-0.423006125,0.075172167,-0.617211203,-0.457936416,-0.361206647,-0.167382997
hbe_mean,-0.167510045,-0.17119069,0.060147374,-0.378475718,-0.208769328,-0.124042844,0.003484067
resvol,-0.134423169,-0.13369559,0.067556682,-0.357079408,-0.173792742,-0.086533276,0.013878427
rsa,-0.460123384,-0.475612973,0.080593165,-0.652645763,-0.513206294,-0.408866041,-0.165278639
seqent,-0.161291362,-0.15896486,0.078299454,-0.376843678,-0.218145206,-0.110416712,0.049365412
sizeAA,-0.418124053,-0.416061925,0.047731714,-0.585195043,-0.445910677,-0.386752305,-0.302546303
sizeSC,-0.418124053,-0.416061925,0.047731714,-0.585195043,-0.445910677,-0.386752305,-0.302546303
VAAarea,-0.419725812,-0.430741193,0.081160724,-0.587282807,-0.472829471,-0.371118172,-0.122239896
VAAeccentricity,-0.394407975,-0.406372291,0.089210717,-0.572184083,-0.454569621,-0.348037681,-0.061076298
VAAedge_length_total,-0.405633803,-0.41844537,0.077769446,-0.569560446,-0.456939036,-0.354266378,-0.1277035
VAAfree_volume,-0.420832054,-0.438062595,0.091866805,-0.611162093,-0.4836128,-0.369944073,-0.072373099
VAAmodified_volume,-0.409819453,-0.424607354,0.080230944,-0.576581598,-0.46481744,-0.366219043,-0.113181967
VAAnfaces,-0.045761052,-0.052537115,0.072047143,-0.246581278,-0.092751754,0.004277116,0.178478636
VAAvolume,-0.411832136,-0.426516406,0.080607515,-0.579263316,-0.467960008,-0.366531476,-0.113992412
VCAarea,-0.331137135,-0.346777571,0.083437563,-0.511549809,-0.386896635,-0.285201706,-0.029392163
VCAeccentricity,-0.325354594,-0.33578759,0.082454787,-0.517403206,-0.374944359,-0.28306967,-0.038861205
VCAedge_length_total,-0.30928384,-0.325595645,0.083400506,-0.486650004,-0.365615202,-0.262115962,-0.018108602
VCAfree_volume,-0.313142309,-0.321669652,0.09121392,-0.504899875,-0.376891225,-0.264666916,0.01373017
VCAmodified_volume,-0.318650015,-0.335042713,0.083659771,-0.499811283,-0.374176189,-0.269147724,-0.020726657
VCAnfaces,0.077131931,0.071526371,0.065804687,-0.054157769,0.032016162,0.115254781,0.322667037
VCAvolume,-0.319762463,-0.334901765,0.083865324,-0.495374572,-0.376478512,-0.269246703,-0.022065856
VSCarea,-0.438732558,-0.450930753,0.081380753,-0.644807931,-0.49261394,-0.391419026,-0.140976398
VSCeccentricity,-0.417140285,-0.427814639,0.082739964,-0.599567573,-0.471160281,-0.370731879,-0.108111451
VSCedge_length_total,-0.415953986,-0.420936772,0.078921128,-0.619365436,-0.467921752,-0.371024355,-0.128088315
VSCfree_volume,-0.429537698,-0.433822634,0.091685051,-0.649091121,-0.491792656,-0.374688117,-0.077791338
VSCmodified_volume,-0.420881545,-0.430760881,0.081854729,-0.635632599,-0.477214425,-0.371797152,-0.119427045
VSCnfaces,-0.038706779,-0.040858885,0.064600642,-0.209643899,-0.083212455,5.32E-05,0.181591394
VSCvolume,-0.422336537,-0.431800874,0.082263795,-0.633902804,-0.478759508,-0.37197209,-0.120720379
wcnAA,0.360098504,0.364601425,0.084983711,0.095345526,0.304513868,0.417610355,0.558626636
wcnC,0.223521653,0.230918843,0.073592589,0.023788358,0.176599165,0.274745745,0.38969004
wcnCA,0.265717015,0.267129997,0.07672969,0.037778454,0.22260405,0.317031888,0.447208556
wcnCB,0.321536804,0.32069757,0.080718593,0.069009765,0.271843344,0.380329401,0.514029943
wcnN,0.209944496,0.213634255,0.068254132,0.002496238,0.173139145,0.255461431,0.435124581
wcnO,0.221630123,0.229954936,0.074379103,0.025287462,0.179478381,0.271117503,0.395328468
wcnSC,0.386729316,0.389673988,0.086244074,0.109318854,0.324843327,0.445896381,0.622956615
