"variable","coef","abs.coef"
"(Intercept)",0.742972514805778,0.742972514805778
"mean.TSS",0.248016342112046,0.248016342112046
"r.vedge.vsphericity",0.211268762373753,0.211268762373753
"mean.GSS",0.202883731488316,0.202883731488316
"sd.seqent",0.188047670500479,0.188047670500479
"r.vvolume.wcnSC",-0.161318088509103,0.161318088509103
"r.vnfaces.wcnSC",0.149625981422683,0.149625981422683
"sd.r4sJC",0.139566715202842,0.139566715202842
"mean.LSS",-0.0977224736407328,0.0977224736407328
"r.rsa.varea",-0.0897698325147233,0.0897698325147233
"mean.betas",-0.0712475198948028,0.0712475198948028
"mean.ddgent",-0.062251472029782,0.062251472029782
"median.seqent",0.0397248606396719,0.0397248606396719
"mean.ESS",-0.0351445278484334,0.0351445278484334
"r.hbe.varea",-0.0327055740164622,0.0327055740164622
"mean.r4sJC",0.032201319248219,0.032201319248219
"r.hbe.vvolume",-0.0263927540698061,0.0263927540698061
"r.hpshh.vsphericitym",-0.0257588545149698,0.0257588545149698
"median.ddgent",-0.0256511519613874,0.0256511519613874
"mean.seqent",0.0213364049931975,0.0213364049931975
"contact_orderSC",0.0201572688023802,0.0201572688023802
"median.vnfaces",-0.0151960903330203,0.0151960903330203
"sd.veccentricity",-0.00331164671782777,0.00331164671782777
"r.hbe.hpshh",0.00230535822714718,0.00230535822714718
"mean.nhbas",-0.00207912502164043,0.00207912502164043
"r.ddgent.hpshh",0.0018865194925601,0.0018865194925601
"sum.ISS",-0.00158918721301006,0.00158918721301006
"sum.BSS",-0.000691807329868989,0.000691807329868989
"sd.bfSC",-0.000448602537263282,0.000448602537263282
"nseq",1.12424944445579e-05,1.12424944445579e-05
"sum.LSS",-3.58712989010605e-06,3.58712989010605e-06
"mean.bfSC",0,0
"mean.BSS",0,0
"mean.hbdif",0,0
"mean.hbe",0,0
"mean.helix",0,0
"mean.hpshh",0,0
"mean.HSS",0,0
"mean.ISS",0,0
"mean.nhbon",0,0
"mean.nhbpa.dif",0,0
"mean.nhbps",0,0
"mean.rsa",0,0
"mean.SSS",0,0
"mean.varea",0,0
"mean.veccentricity",0,0
"mean.vedge",0,0
"mean.vnfaces",0,0
"mean.vnfacescc",0,0
"mean.vsphericity",0,0
"mean.vsphericitycc",0,0
"mean.vsphericitym",0,0
"mean.vvolume",0,0
"mean.wcnSC",0,0
"median.bfSC",0,0
"median.hbe",0,0
"median.hpshh",0,0
"median.r4sJC",0,0
"median.rsa",0,0
"median.varea",0,0
"median.veccentricity",0,0
"median.vedge",0,0
"median.vnfacescc",0,0
"median.vsphericity",0,0
"median.vsphericitycc",0,0
"median.vsphericitym",0,0
"median.vvolume",0,0
"median.wcnSC",0,0
"natoms",0,0
"nchain",0,0
"nres",0,0
"r.bfSC.ddgent",0,0
"r.bfSC.hbe",0,0
"r.bfSC.hpshh",0,0
"r.bfSC.rsa",0,0
"r.bfSC.varea",0,0
"r.bfSC.veccentricity",0,0
"r.bfSC.vedge",0,0
"r.bfSC.vnfaces",0,0
"r.bfSC.vsphericity",0,0
"r.bfSC.vsphericitym",0,0
"r.bfSC.vvolume",0,0
"r.bfSC.wcnSC",0,0
"r.ddgent.hbe",0,0
"r.ddgent.rsa",0,0
"r.ddgent.varea",0,0
"r.ddgent.veccentricity",0,0
"r.ddgent.vedge",0,0
"r.ddgent.vnfaces",0,0
"r.ddgent.vsphericity",0,0
"r.ddgent.vsphericitym",0,0
"r.ddgent.vvolume",0,0
"r.ddgent.wcnSC",0,0
"r.hbe.rsa",0,0
"r.hbe.veccentricity",0,0
"r.hbe.vedge",0,0
"r.hbe.vnfaces",0,0
"r.hbe.vsphericity",0,0
"r.hbe.vsphericitym",0,0
"r.hbe.wcnSC",0,0
"r.hpshh.rsa",0,0
"r.hpshh.varea",0,0
"r.hpshh.veccentricity",0,0
"r.hpshh.vedge",0,0
"r.hpshh.vnfaces",0,0
"r.hpshh.vsphericity",0,0
"r.hpshh.vvolume",0,0
"r.hpshh.wcnSC",0,0
"r.rsa.veccentricity",0,0
"r.rsa.vedge",0,0
"r.rsa.vnfaces",0,0
"r.rsa.vsphericity",0,0
"r.rsa.vsphericitym",0,0
"r.rsa.vvolume",0,0
"r.rsa.wcnSC",0,0
"r.varea.veccentricity",0,0
"r.varea.vedge",0,0
"r.varea.vnfaces",0,0
"r.varea.vsphericity",0,0
"r.varea.vsphericitym",0,0
"r.varea.vvolume",0,0
"r.varea.wcnSC",0,0
"r.veccentricity.vedge",0,0
"r.veccentricity.vnfaces",0,0
"r.veccentricity.vsphericity",0,0
"r.veccentricity.vsphericitym",0,0
"r.veccentricity.vvolume",0,0
"r.veccentricity.wcnSC",0,0
"r.vedge.vnfaces",0,0
"r.vedge.vsphericitym",0,0
"r.vedge.vvolume",0,0
"r.vedge.wcnSC",0,0
"r.vnfaces.vsphericity",0,0
"r.vnfaces.vsphericitym",0,0
"r.vnfaces.vvolume",0,0
"r.vsphericity.vsphericitym",0,0
"r.vsphericity.vvolume",0,0
"r.vsphericity.wcnSC",0,0
"r.vsphericitym.vvolume",0,0
"r.vsphericitym.wcnSC",0,0
"sd.ddgent",0,0
"sd.hbe",0,0
"sd.hpshh",0,0
"sd.rsa",0,0
"sd.varea",0,0
"sd.vedge",0,0
"sd.vnfaces",0,0
"sd.vnfacescc",0,0
"sd.vsphericity",0,0
"sd.vsphericitycc",0,0
"sd.vsphericitym",0,0
"sd.vvolume",0,0
"sd.wcnSC",0,0
"sres",0,0
"sum.betas",0,0
"sum.bfSC",0,0
"sum.ddgent",0,0
"sum.ESS",0,0
"sum.GSS",0,0
"sum.hbdif",0,0
"sum.hbe",0,0
"sum.helix",0,0
"sum.hpshh",0,0
"sum.HSS",0,0
"sum.nhbas",0,0
"sum.nhbon",0,0
"sum.nhbpa.dif",0,0
"sum.nhbps",0,0
"sum.r4sJC",0,0
