"pdb","wcn","variable","value"
"132L_A","wcnAA","ddgent",-0.640648308418568
"132L_A","wcnAA","hbe",-0.540447321023771
"132L_A","wcnAA","hpshh",-0.481166199363055
"132L_A","wcnAA","r4s_JC",-0.61016469080319
"132L_A","wcnAA","resvol",-0.0698227384619917
"132L_A","wcnAA","rsa",-0.903891770402267
"132L_A","wcnAA","seqent",-0.539160811667448
"132L_A","wcnC","ddgent",-0.498284815106216
"132L_A","wcnC","hbe",-0.53818997385798
"132L_A","wcnC","hpshh",-0.345310144083543
"132L_A","wcnC","r4s_JC",-0.548096441532925
"132L_A","wcnC","resvol",0.051409095857144
"132L_A","wcnC","rsa",-0.757028916233658
"132L_A","wcnC","seqent",-0.462842351252337
"132L_A","wcnCA","ddgent",-0.561277734067663
"132L_A","wcnCA","hbe",-0.518239054765066
"132L_A","wcnCA","hpshh",-0.368564585140564
"132L_A","wcnCA","r4s_JC",-0.601185849145749
"132L_A","wcnCA","resvol",0.100243630258987
"132L_A","wcnCA","rsa",-0.816382930031184
"132L_A","wcnCA","seqent",-0.529146570799783
"132L_A","wcnCB","ddgent",-0.671364280094414
"132L_A","wcnCB","hbe",-0.541782209724322
"132L_A","wcnCB","hpshh",-0.456037011022122
"132L_A","wcnCB","r4s_JC",-0.658054993467506
"132L_A","wcnCB","resvol",0.0921598231864519
"132L_A","wcnCB","rsa",-0.890347985998886
"132L_A","wcnCB","seqent",-0.578808645247225
"132L_A","wcnN","ddgent",-0.466284815106216
"132L_A","wcnN","hbe",-0.476791390277423
"132L_A","wcnN","hpshh",-0.308310712418037
"132L_A","wcnN","r4s_JC",-0.458899690654826
"132L_A","wcnN","resvol",0.106852197822778
"132L_A","wcnN","rsa",-0.68930054945775
"132L_A","wcnN","seqent",-0.4177121771347
"132L_A","wcnO","ddgent",-0.506341463414634
"132L_A","wcnO","hbe",-0.53605541126606
"132L_A","wcnO","hpshh",-0.361747322289971
"132L_A","wcnO","r4s_JC",-0.549393070612093
"132L_A","wcnO","resvol",0.0406464812826515
"132L_A","wcnO","rsa",-0.762437614886612
"132L_A","wcnO","seqent",-0.463009150361698
"132L_A","wcnSC","ddgent",-0.725797010228167
"132L_A","wcnSC","hbe",-0.5161737552661
"132L_A","wcnSC","hpshh",-0.525869769277773
"132L_A","wcnSC","r4s_JC",-0.676638961216259
"132L_A","wcnSC","resvol",-0.000180061353315547
"132L_A","wcnSC","rsa",-0.943065482473695
"132L_A","wcnSC","seqent",-0.600486235158123
"13PK_A","wcnAA","ddgent",-0.678879565083075
"13PK_A","wcnAA","hbe",-0.294646022035852
"13PK_A","wcnAA","hpshh",-0.384542270381788
"13PK_A","wcnAA","r4s_JC",-0.681202916132859
"13PK_A","wcnAA","resvol",-0.155603759572228
"13PK_A","wcnAA","rsa",-0.828529206405109
"13PK_A","wcnAA","seqent",-0.569381975758944
"13PK_A","wcnC","ddgent",-0.590070314703631
"13PK_A","wcnC","hbe",-0.386584384051622
"13PK_A","wcnC","hpshh",-0.27246184192553
"13PK_A","wcnC","r4s_JC",-0.621898543014059
"13PK_A","wcnC","resvol",-0.0546122871649145
"13PK_A","wcnC","rsa",-0.749011442775999
"13PK_A","wcnC","seqent",-0.50494614578005
"13PK_A","wcnCA","ddgent",-0.647362527031202
"13PK_A","wcnCA","hbe",-0.332096480271221
"13PK_A","wcnCA","hpshh",-0.335438479795505
"13PK_A","wcnCA","r4s_JC",-0.657158303393331
"13PK_A","wcnCA","resvol",-0.0881709474855904
"13PK_A","wcnCA","rsa",-0.787218291091104
"13PK_A","wcnCA","seqent",-0.542094827010984
"13PK_A","wcnCB","ddgent",-0.694648493640112
"13PK_A","wcnCB","hbe",-0.294557779048346
"13PK_A","wcnCB","hpshh",-0.366836190615623
"13PK_A","wcnCB","r4s_JC",-0.694442133333753
"13PK_A","wcnCB","resvol",-0.100850662704692
"13PK_A","wcnCB","rsa",-0.82883212864737
"13PK_A","wcnCB","seqent",-0.577719855652003
"13PK_A","wcnN","ddgent",-0.525595022229386
"13PK_A","wcnN","hbe",-0.363226188187397
"13PK_A","wcnN","hpshh",-0.270938632399481
"13PK_A","wcnN","r4s_JC",-0.598909426156217
"13PK_A","wcnN","resvol",-0.0680939503844304
"13PK_A","wcnN","rsa",-0.667763562808361
"13PK_A","wcnN","seqent",-0.482794678125173
"13PK_A","wcnO","ddgent",-0.581724557091241
"13PK_A","wcnO","hbe",-0.431820795627097
"13PK_A","wcnO","hpshh",-0.271444152453272
"13PK_A","wcnO","r4s_JC",-0.579334210284257
"13PK_A","wcnO","resvol",-0.0413478780276679
"13PK_A","wcnO","rsa",-0.749906286892761
"13PK_A","wcnO","seqent",-0.467856935635375
"13PK_A","wcnSC","ddgent",-0.699037622060147
"13PK_A","wcnSC","hbe",-0.247878414111037
"13PK_A","wcnSC","hpshh",-0.422421007532557
"13PK_A","wcnSC","r4s_JC",-0.693047178957972
"13PK_A","wcnSC","resvol",-0.116986677511001
"13PK_A","wcnSC","rsa",-0.84173079398531
"13PK_A","wcnSC","seqent",-0.583052177723805
"1A26_A","wcnAA","ddgent",-0.667521922521923
"1A26_A","wcnAA","hbe",-0.370892526143816
"1A26_A","wcnAA","hpshh",-0.407785010227011
"1A26_A","wcnAA","r4s_JC",-0.674995613746988
"1A26_A","wcnAA","resvol",0.0572217328295287
"1A26_A","wcnAA","rsa",-0.820205309042946
"1A26_A","wcnAA","seqent",-0.539326784326784
"1A26_A","wcnC","ddgent",-0.546242923742924
"1A26_A","wcnC","hbe",-0.505599773256129
"1A26_A","wcnC","hpshh",-0.263580936500177
"1A26_A","wcnC","r4s_JC",-0.581993986958555
"1A26_A","wcnC","resvol",0.141757733370541
"1A26_A","wcnC","rsa",-0.703440228893231
"1A26_A","wcnC","seqent",-0.453709901209901
"1A26_A","wcnCA","ddgent",-0.61038073038073
"1A26_A","wcnCA","hbe",-0.446981655734632
"1A26_A","wcnCA","hpshh",-0.317385117925575
"1A26_A","wcnCA","r4s_JC",-0.624945340777569
"1A26_A","wcnCA","resvol",0.143190452239332
"1A26_A","wcnCA","rsa",-0.75015251131427
"1A26_A","wcnCA","seqent",-0.492121767121767
"1A26_A","wcnCB","ddgent",-0.679819902319902
"1A26_A","wcnCB","hbe",-0.403918430276724
"1A26_A","wcnCB","hpshh",-0.384601264258745
"1A26_A","wcnCB","r4s_JC",-0.681180024832575
"1A26_A","wcnCB","resvol",0.132693764627646
"1A26_A","wcnCB","rsa",-0.817929483098743
"1A26_A","wcnCB","seqent",-0.547615162615163
"1A26_A","wcnN","ddgent",-0.524377566877567
"1A26_A","wcnN","hbe",-0.511127474853011
"1A26_A","wcnN","hpshh",-0.2497096024762
"1A26_A","wcnN","r4s_JC",-0.539307786365435
"1A26_A","wcnN","resvol",0.143521079670591
"1A26_A","wcnN","rsa",-0.670438877593953
"1A26_A","wcnN","seqent",-0.417177822177822
"1A26_A","wcnO","ddgent",-0.535487845487846
"1A26_A","wcnO","hbe",-0.524594993772098
"1A26_A","wcnO","hpshh",-0.251209123460435
"1A26_A","wcnO","r4s_JC",-0.575256375500576
"1A26_A","wcnO","resvol",0.13441380948972
"1A26_A","wcnO","rsa",-0.696835819505323
"1A26_A","wcnO","seqent",-0.447450327450327
"1A26_A","wcnSC","ddgent",-0.714247141747142
"1A26_A","wcnSC","hbe",-0.312185867696436
"1A26_A","wcnSC","hpshh",-0.472796796738245
"1A26_A","wcnSC","r4s_JC",-0.698020515326156
"1A26_A","wcnSC","resvol",0.0868656179041495
"1A26_A","wcnSC","rsa",-0.855967097621143
"1A26_A","wcnSC","seqent",-0.563024475524476
"1A2T_A","wcnAA","ddgent",-0.705482612002644
"1A2T_A","wcnAA","hbe",-0.365362587878639
"1A2T_A","wcnAA","hpshh",-0.421262770341089
"1A2T_A","wcnAA","r4s_JC",-0.573871819342033
"1A2T_A","wcnAA","resvol",-0.246039207590298
"1A2T_A","wcnAA","rsa",-0.891711978533305
"1A2T_A","wcnAA","seqent",-0.489935011497955
"1A2T_A","wcnC","ddgent",-0.54762528211075
"1A2T_A","wcnC","hbe",-0.477164547556194
"1A2T_A","wcnC","hpshh",-0.321347497502015
"1A2T_A","wcnC","r4s_JC",-0.394821796686938
"1A2T_A","wcnC","resvol",-0.0979792387286392
"1A2T_A","wcnC","rsa",-0.760135767198036
"1A2T_A","wcnC","seqent",-0.342197140107899
"1A2T_A","wcnCA","ddgent",-0.666180376313919
"1A2T_A","wcnCA","hbe",-0.411890403133458
"1A2T_A","wcnCA","hpshh",-0.38697836324057
"1A2T_A","wcnCA","r4s_JC",-0.4766844935082
"1A2T_A","wcnCA","resvol",-0.143813415915891
"1A2T_A","wcnCA","rsa",-0.850605485094205
"1A2T_A","wcnCA","seqent",-0.393571973646715
"1A2T_A","wcnCB","ddgent",-0.734256038105213
"1A2T_A","wcnCB","hbe",-0.347012887631242
"1A2T_A","wcnCB","hpshh",-0.43723630103617
"1A2T_A","wcnCB","r4s_JC",-0.584956925275455
"1A2T_A","wcnCB","resvol",-0.173130433535581
"1A2T_A","wcnCB","rsa",-0.900714784671965
"1A2T_A","wcnCB","seqent",-0.496448824672237
"1A2T_A","wcnN","ddgent",-0.54380478559583
"1A2T_A","wcnN","hbe",-0.501443725439271
"1A2T_A","wcnN","hpshh",-0.268919882264361
"1A2T_A","wcnN","r4s_JC",-0.323939464640671
"1A2T_A","wcnN","resvol",-0.132528571436854
"1A2T_A","wcnN","rsa",-0.72601842564208
"1A2T_A","wcnN","seqent",-0.273919310514226
"1A2T_A","wcnO","ddgent",-0.51153505654684
"1A2T_A","wcnO","hbe",-0.529968578936958
"1A2T_A","wcnO","hpshh",-0.25482573768114
"1A2T_A","wcnO","r4s_JC",-0.363529128688607
"1A2T_A","wcnO","resvol",-0.0861726677211202
"1A2T_A","wcnO","rsa",-0.736238906225214
"1A2T_A","wcnO","seqent",-0.306353711029048
"1A2T_A","wcnSC","ddgent",-0.763787578398733
"1A2T_A","wcnSC","hbe",-0.256057644235294
"1A2T_A","wcnSC","hpshh",-0.463978138574575
"1A2T_A","wcnSC","r4s_JC",-0.646699344330497
"1A2T_A","wcnSC","resvol",-0.208788435116819
"1A2T_A","wcnSC","rsa",-0.911990749455945
"1A2T_A","wcnSC","seqent",-0.544045546817854
"1A4L_A","wcnAA","ddgent",-0.706321805860899
"1A4L_A","wcnAA","hbe",-0.257519457243418
"1A4L_A","wcnAA","hpshh",-0.365793797780224
"1A4L_A","wcnAA","r4s_JC",-0.737096221139528
"1A4L_A","wcnAA","resvol",-0.109264384215836
"1A4L_A","wcnAA","rsa",-0.862301601875128
"1A4L_A","wcnAA","seqent",-0.569402546793889
"1A4L_A","wcnC","ddgent",-0.588739366062574
"1A4L_A","wcnC","hbe",-0.387262019336273
"1A4L_A","wcnC","hpshh",-0.260066307227024
"1A4L_A","wcnC","r4s_JC",-0.63099210479508
"1A4L_A","wcnC","resvol",-0.0265339774088123
"1A4L_A","wcnC","rsa",-0.76852816376453
"1A4L_A","wcnC","seqent",-0.452647846023688
"1A4L_A","wcnCA","ddgent",-0.642436034074158
"1A4L_A","wcnCA","hbe",-0.333751991331779
"1A4L_A","wcnCA","hpshh",-0.294407260017777
"1A4L_A","wcnCA","r4s_JC",-0.675747609202268
"1A4L_A","wcnCA","resvol",-0.0416689991913562
"1A4L_A","wcnCA","rsa",-0.80901224863349
"1A4L_A","wcnCA","seqent",-0.494405200233073
"1A4L_A","wcnCB","ddgent",-0.717707383313207
"1A4L_A","wcnCB","hbe",-0.291184707593254
"1A4L_A","wcnCB","hpshh",-0.3530011558018
"1A4L_A","wcnCB","r4s_JC",-0.737159006409421
"1A4L_A","wcnCB","resvol",-0.0559490456782913
"1A4L_A","wcnCB","rsa",-0.861371055214224
"1A4L_A","wcnCB","seqent",-0.565809380415768
"1A4L_A","wcnN","ddgent",-0.528656569628532
"1A4L_A","wcnN","hbe",-0.378232539416627
"1A4L_A","wcnN","hpshh",-0.229457421536757
"1A4L_A","wcnN","r4s_JC",-0.594533652448721
"1A4L_A","wcnN","resvol",-0.0254130288651967
"1A4L_A","wcnN","rsa",-0.700886311176746
"1A4L_A","wcnN","seqent",-0.409680905414884
"1A4L_A","wcnO","ddgent",-0.613822317679422
"1A4L_A","wcnO","hbe",-0.39960639064607
"1A4L_A","wcnO","hpshh",-0.272081060692551
"1A4L_A","wcnO","r4s_JC",-0.601228327610126
"1A4L_A","wcnO","resvol",-0.0123686140105338
"1A4L_A","wcnO","rsa",-0.774859752362197
"1A4L_A","wcnO","seqent",-0.433955208745956
"1A4L_A","wcnSC","ddgent",-0.731284028101471
"1A4L_A","wcnSC","hbe",-0.235979427129473
"1A4L_A","wcnSC","hpshh",-0.391524614804416
"1A4L_A","wcnSC","r4s_JC",-0.759896385805191
"1A4L_A","wcnSC","resvol",-0.0762964281399184
