                 pdb     free_param_best         sp_cor_best                nres
              132L_A              -2.200              -0.605                 124
              13PK_A              -0.800              -0.686                 415
              1A26_A              -2.000              -0.625                 351
              1A2T_A              -1.100              -0.485                 134
              1A4L_A              -1.700              -0.678                 348
              1A65_A              -2.600              -0.613                 504
              1A8H_A              -2.400              -0.286                 500
              1A8S_A              -1.400              -0.515                 273
              1AF7_A              -1.400              -0.639                 274
              1AGM_A              -2.500              -0.563                 470
              1AGY_A              -3.000              -0.622                 197
              1AH7_A              -2.400              -0.681                 245
              1AJ0_A               4.400               0.516                 282
              1AK0_A              -2.600              -0.677                 264
              1AKO_A              -2.600              -0.510                 268
              1AMY_A              -1.700              -0.523                 403
              1AQ2_A              -1.400              -0.686                 534
              1AQL_A              -2.500              -0.558                 532
              1AST_A              -2.100              -0.587                 200
              1B04_A              -2.400              -0.464                 310
              1B2R_A              -0.900              -0.639                 295
              1BBS_A              -2.400              -0.583                 331
              1BF2_A              -1.600              -0.542                 750
              1BG0_A              -1.600              -0.697                 356
              1BH2_A               0.200               0.617                 315
              1BOL_A              -1.900              -0.502                 222
              1BP2_A              -1.900              -0.592                 123
              1BQC_A               0.200               0.621                 302
              1BS0_A              -2.100              -0.544                 383
              1BS4_A              -0.600              -0.571                 168
              1BS9_A              -2.400              -0.544                 207
              1BT1_A              -1.700              -0.581                 336
              1BU7_A              -2.600              -0.423                 455
              1BVV_A              15.300               0.461                 185
              1BVZ_A              -2.500              -0.513                 585
              1BWL_A              -2.400              -0.576                 399
              1BWZ_A              -1.100              -0.618                 274
              1BYA_A              -2.500              -0.527                 491
              1BZC_A              -0.700              -0.652                 297
              1C82_A              -2.400              -0.661                 719
              1CA2_A              -1.600              -0.620                 256
              1CB8_A              -2.400              -0.665                 674
              1CBX_A              -3.000              -0.571                 307
              1CDG_A              -2.400              -0.477                 686
              1CEL_A              -2.800              -0.619                 433
              1CHD_A              -3.200              -0.431                 198
              1CHK_B              -2.400              -0.467                 238
              1CM0_A               1.700               0.496                 162
              1CNS_A              -2.900              -0.573                 243
              1COY_A              -2.200              -0.601                 501
              1CQQ_A               4.600               0.394                 180
              1CVR_A              -2.200              -0.455                 432
              1CWY_A              -1.900              -0.614                 500
              1CZ1_A              -1.100              -0.689                 394
              1CZF_A              -3.100              -0.432                 335
              1D1Q_A              -1.400              -0.626                 159
              1D4C_A              -2.600              -0.667                 570
              1D6O_A              -1.300              -0.378                 107
              1DDJ_A              -2.300              -0.655                 247
              1DGK_N              -2.700              -0.500                 898
              1DGS_A              -1.800              -0.429                 581
              1DIN_A              -1.800              -0.610                 232
              1DNP_A              -2.300              -0.624                 469
              1DVE_A              -2.100              -0.595                 214
              1E0C_A              -2.900              -0.583                 270
              1E1A_A              -2.000              -0.576                 312
              1E6E_A              -1.400              -0.739                 457
              1EB6_A              -1.300              -0.525                 177
              1EH5_A              -2.300              -0.675                 279
              1EUG_A              -2.300              -0.635                 225
              1EUU_A              -1.300              -0.458                 601
              1EX1_A              -2.800              -0.568                 602
              1EXN_A              -2.100              -0.354                 267
              1EXP_A              -0.600              -0.570                 312
              1EYP_A              -2.300              -0.425                 212
              1FF3_A              -1.500              -0.473                 210
              1FGH_A              -1.100              -0.734                 753
              1FHL_A              -0.800              -0.569                 334
              1FOA_A              -1.200              -0.695                 342
              1G24_A              -2.000              -0.627                 210
              1G6T_A              -1.700              -0.683                 427
              1G8O_A              -2.400              -0.553                 287
              1GA8_A               0.900               0.687                 271
              1GAL_A              -1.700              -0.597                 581
              1GCU_A              -2.300              -0.524                 292
              1GOG_A              -2.400              -0.603                 639
              1GP5_A              -1.900              -0.556                 346
              1GQ8_A              -2.900              -0.507                 318
              1H19_A              -1.000              -0.730                 610
              1H3I_A              -2.700              -0.237                 293
              1HKA_A              27.400               0.524                 158
              1HPL_A              -2.500              -0.641                 449
              1HPM_A               0.300               0.589                 378
              1HQC_A              30.000               0.398                 314
              1I1E_A              -3.400              -0.413                1287
              1I1I_P               1.500               0.540                 665
              1I9A_A              -1.000              -0.562                 175
              1IDJ_A              -3.200              -0.607                 359
              1IG8_A              -0.900              -0.666                 469
              1IM5_A              -2.400              -0.532                 179
              1INP_A              -1.100              -0.631                 400
              1IU4_A              -2.800              -0.269                 331
              1J00_A               6.100               0.444                 176
              1J09_A              -1.300              -0.570                 468
              1JH6_A              -0.300              -0.615                 181
              1JMS_A              -2.400              -0.623                 360
              1JOA_A              -1.700              -0.472                 446
              1JS4_A              -2.200              -0.634                 605
              1K30_A               4.900               0.575                 363
              1KL7_A               5.300               0.743                 503
              1KNP_A              -2.200              -0.583                 529
              1L1D_A              -2.700              -0.602                 142
              1L1L_A               1.000               0.688                 717
              1L6P_A              29.900               0.355                 121
              1L7N_A              -2.500              -0.593                 207
              1L7Q_A              -3.000              -0.457                 571
              1L8T_A              -0.800              -0.644                 263
              1L9X_A              -1.300              -0.621                 288
              1LBA_A              -0.300              -0.635                 146
              1LDM_A              -1.100              -0.534                 329
              1LJL_A              -1.000              -0.613                 130
              1LVH_A              -0.800              -0.678                 220
              1M53_A              -2.300              -0.666                 556
              1MBB_A              -1.000              -0.692                 340
              1MJ9_A               0.400               0.624                 273
              1MLA_A              -1.800              -0.617                 305
              1MRQ_A              -1.900              -0.546                 323
              1MUD_A              -0.900              -0.510                 225
              1MUG_A               0.400               0.594                 165
              1NDH_A              26.700               0.525                 270
              1NDI_A              -2.200              -0.636                 596
              1NLU_A              -1.100              -0.629                 368
              1O8A_A              -2.200              -0.563                 574
              1O98_A              -0.300              -0.717                 509
              1OG1_A              -1.800              -0.626                 223
              1OGO_X              -1.900              -0.402                 572
              1OJ4_A              -1.700              -0.699                 277
              1ONR_A              -1.100              -0.760                 316
              1OPM_A              -2.200              -0.452                 310
              1OXA_A              -3.200              -0.439                 403
              1OYG_A              -0.900              -0.683                 440
              1P1X_A              -0.200              -0.615                 250
              1P3D_A              -1.300              -0.628                 449
              1P5D_X              -1.200              -0.687                 454
              1PA9_A              -0.400              -0.587                 279
              1PII_A              -2.900              -0.613                 452
              1PKN_A              -1.400              -0.518                 514
              1PMI_A              -0.100              -0.709                 440
              1PP4_A              -1.600              -0.518                 233
              1PS9_A              -2.200              -0.615                 671
              1PTD_A              -0.800              -0.649                 296
              1PUD_A              -1.800              -0.494                 372
              1PYL_A               1.300               0.426                  95
              1Q91_A              -1.300              -0.595                 194
              1QAM_A              -1.200              -0.447                 235
              1QAZ_A              -4.000              -0.308                 351
              1QBA_A              -2.500              -0.625                 858
              1QFM_A              -2.400              -0.559                 705
              1QGX_A              -0.200              -0.692                 354
              1QJE_A              -2.000              -0.529                 327
              1QK2_A              -2.400              -0.605                 363
              1QWN_A              -2.300              -0.634                1014
              1R1J_A              -2.200              -0.542                 696
              1R44_A              -1.400              -0.666                 202
              1R4Z_A              -1.800              -0.517                 179
              1RBN_A              -2.100              -0.546                 124
              1RDD_A              -2.700              -0.438                 155
              1RU4_A              -3.500              -0.590                 400
              1S3I_A               0.100               0.592                 307
              1S95_A              -1.300              -0.606                 324
              1SCA_A              -2.000              -0.659                 274
              1SLL_A              -1.600              -0.425                 679
              1SML_A              -1.600              -0.482                 266
              1SNZ_A              -2.500              -0.420                 344
              1TAH_B              -1.500              -0.511                 318
              1TLP_E              -2.000              -0.597                 316
              1U3F_A              -0.400              -0.518                 164
              1U5U_A              -0.700              -0.348                 366
              1UAS_A              -1.800              -0.601                 362
              1UN1_A              -2.800              -0.510                 267
              1VID_A              -1.400              -0.543                 213
              1VLB_A              -3.000              -0.549                 907
              1VNC_A              -2.900              -0.542                 576
              1VQ1_A              -1.000              -0.615                 263
              1W0H_A              -1.800              -0.618                 194
              1XQW_A              -2.400              -0.631                 290
              1Y9M_A              -1.600              -0.656                 517
              1YON_A              -1.200              -0.629                 292
              1YSC_A              -2.500              -0.673                 421
              1ZE1_A              -1.200              -0.478                 308
              1ZIO_A              -2.100              -0.632                 217
              206L_A              -1.700              -0.492                 162
              2A0N_A              13.000               0.647                 251
              2ABK_A              -0.700              -0.574                 211
              2ACY_A              -1.800              -0.378                  98
              2AYH_A              -2.300              -0.531                 214
              2CPO_A              -2.000              -0.392                 298
              2CPU_A              -2.500              -0.617                 495
              2DLN_A              -1.600              -0.707                 306
              2EBN_A               1.200               0.479                 285
              2ENG_A              -2.800              -0.513                 205
              2F61_A              -2.100              -0.622                 497
              2F9R_A               7.800               0.570                 285
              2NLR_A              -1.000              -0.458                 222
              2NMT_A              -2.400              -0.482                 422
              2PEC_A              -2.200              -0.533                 352
              2PIA_A              -2.200              -0.625                 321
              2PTH_A              27.300               0.441                 193
              2SQC_A              -2.000              -0.630                 623
              2THI_A              -2.100              -0.430                 362
              2TPS_A               1.300               0.671                 226
              5EAT_A              -3.100              -0.287                 532
              7ATJ_A              -2.600              -0.581                 305
