            pdb_name        expmean_best             sp_best          sp_default             sp_diff                nres
              132L_A               3.600              -0.539              -0.529               0.010                 124
              13PK_A              16.200              -0.563              -0.542               0.021                 415
              1A26_A               3.600              -0.513              -0.492               0.021                 351
              1A2T_A               3.000              -0.405              -0.394               0.011                 134
              1A4L_A               4.400              -0.501              -0.494               0.007                 348
              1A65_A               3.600              -0.499              -0.481               0.018                 504
              1A8H_A               4.200              -0.263              -0.251               0.013                 500
              1A8S_A               4.000              -0.420              -0.421              -0.001                 273
              1AF7_A               5.000              -0.617              -0.611               0.007                 274
              1AGM_A               2.600              -0.278              -0.277               0.001                 470
              1AGY_A               2.400              -0.488              -0.455               0.033                 197
              1AH7_A               3.600              -0.449              -0.447               0.002                 245
              1AJ0_A              11.800              -0.489              -0.483               0.006                 282
              1AK0_A               4.000              -0.544              -0.540               0.003                 264
              1AKO_A               2.800              -0.443              -0.428               0.015                 268
              1AMY_A               4.800              -0.420              -0.422              -0.002                 403
              1AQ2_A              14.200              -0.594              -0.584               0.010                 534
              1AQL_A               3.600              -0.483              -0.467               0.017                 532
              1AST_A               3.400              -0.546              -0.524               0.022                 200
              1B04_A               3.000              -0.413              -0.410               0.002                 310
              1B2R_A               5.600              -0.444              -0.439               0.005                 295
              1BBS_A               3.400              -0.560              -0.546               0.014                 331
              1BF2_A              22.000              -0.402              -0.407              -0.006                 750
              1BG0_A               4.000              -0.586              -0.591              -0.005                 356
              1BH2_A              18.000              -0.559              -0.507               0.052                 315
              1BOL_A               3.400              -0.397              -0.383               0.014                 222
              1BP2_A               4.800              -0.550              -0.538               0.012                 123
              1BQC_A               7.000              -0.507              -0.499               0.008                 302
              1BS0_A               3.600              -0.448              -0.454              -0.006                 383
              1BS4_A              14.000              -0.539              -0.515               0.023                 168
              1BS9_A               3.200              -0.409              -0.401               0.008                 207
              1BT1_A               4.400              -0.445              -0.437               0.008                 336
              1BU7_A               3.400              -0.322              -0.290               0.032                 455
              1BVV_A               5.200              -0.348              -0.347               0.001                 185
              1BVZ_A               4.000              -0.463              -0.445               0.017                 585
              1BWL_A               3.800              -0.469              -0.452               0.018                 399
              1BWZ_A              18.800              -0.557              -0.545               0.013                 274
              1BYA_A               3.800              -0.439              -0.423               0.016                 491
              1BZC_A               6.600              -0.612              -0.598               0.014                 297
              1C82_A               3.000              -0.454              -0.412               0.043                 719
              1CA2_A               6.200              -0.553              -0.547               0.006                 256
              1CB8_A               3.800              -0.528              -0.500               0.028                 674
              1CBX_A               3.200              -0.501              -0.487               0.014                 307
              1CDG_A               2.800              -0.297              -0.248               0.049                 686
              1CEL_A               3.000              -0.526              -0.510               0.015                 433
              1CHD_A               2.200              -0.431              -0.389               0.042                 198
              1CHK_B               3.800              -0.353              -0.325               0.028                 238
              1CM0_A              42.400              -0.349              -0.303               0.046                 162
              1CNS_A               2.600              -0.516              -0.488               0.028                 243
              1COY_A               3.400              -0.462              -0.459               0.002                 501
              1CQQ_A              49.800              -0.334              -0.297               0.037                 180
              1CVR_A               3.200              -0.383              -0.364               0.019                 432
              1CWY_A               6.600              -0.565              -0.574              -0.009                 500
              1CZ1_A               9.000              -0.566              -0.562               0.004                 394
              1CZF_A               2.800              -0.382              -0.341               0.041                 335
              1D1Q_A               3.200              -0.541              -0.530               0.011                 159
              1D4C_A               2.800              -0.470              -0.416               0.054                 570
              1D6O_A               3.600              -0.301              -0.296               0.005                 107
              1DDJ_A               4.200              -0.619              -0.619               0.001                 247
              1DGK_N               4.400              -0.498              -0.457               0.041                 898
              1DGS_A               5.600              -0.377              -0.383              -0.006                 581
              1DIN_A               3.400              -0.555              -0.547               0.008                 232
              1DNP_A               4.200              -0.571              -0.533               0.038                 469
              1DVE_A               4.400              -0.491              -0.484               0.006                 214
              1E0C_A               2.800              -0.506              -0.457               0.049                 270
              1E1A_A               6.000              -0.334              -0.329               0.006                 312
              1E6E_A               6.800              -0.634              -0.645              -0.011                 457
