"","zr4s_JC","seqent","ddgent","rsa","hbe","hpshh","wcnSC","bfSC","vnfaces","varea","vvolume","veccentricity","vsphericity","mvsphericity"
"zr4s_JC",1,0.656642624873352,0.218054385853569,0.0891777979025862,-0.0663233425320751,0.0238395409345991,-0.0552344151256658,0.0710537261716455,0.0140732317995804,0.114320572641401,0.11868984845959,0.0563533924883932,0.105255002274694,-0.105255002274694
"seqent",0.656642624873352,1,0.156588842335723,0.0220645711267274,-0.0327637215669141,-0.00467671051360382,-0.0111993590708827,0.0307372060818104,0.0124197452120259,0.0236806653179467,0.027002331881707,0.00785835939401809,0.0335190144966291,-0.0335190144966291
"ddgent",0.218054385853569,0.156588842335723,1,0.418987486152285,0.254266032363241,0.0369471576102814,-0.202874317969058,0.145463828898087,0.190039495510658,0.327957903148082,0.333220189967947,0.134196237489527,0.259688914106623,-0.259688914106623
"rsa",0.0891777979025862,0.0220645711267274,0.418987486152285,1,0.431365084755768,0.0826132679927994,-0.401095222069743,0.233027159695162,0.395691287423814,0.651388872479818,0.667118110272969,0.257752262186918,0.546535528728874,-0.546535528728874
"hbe",-0.0663233425320751,-0.0327637215669141,0.254266032363241,0.431365084755768,1,-0.105139849660623,-0.12385248184418,0.0726230308902119,0.14056825971299,0.264058854811346,0.261507317886483,0.0914867493954408,0.17365382196781,-0.17365382196781
"hpshh",0.0238395409345991,-0.00467671051360382,0.0369471576102814,0.0826132679927994,-0.105139849660623,1,-0.0461276940252958,0.222550390072155,0.126552256383135,0.0937415589834698,0.10065595238251,0.0500190555859215,0.104095571185811,-0.104095571185811
"wcnSC",-0.0552344151256658,-0.0111993590708827,-0.202874317969058,-0.401095222069743,-0.12385248184418,-0.0461276940252958,1,-0.16606182942701,0.118419345351595,-0.479637064905574,-0.486016697596714,-0.157148928628772,-0.368279352677777,0.368279352677777
"bfSC",0.0710537261716455,0.0307372060818104,0.145463828898087,0.233027159695162,0.0726230308902119,0.222550390072155,-0.16606182942701,1,0.0819889895105549,0.214907464023943,0.210880257693679,0.0945185198581544,0.12756659643779,-0.12756659643779
"vnfaces",0.0140732317995804,0.0124197452120259,0.190039495510658,0.395691287423814,0.14056825971299,0.126552256383135,0.118419345351595,0.0819889895105549,1,0.315968900941646,0.327875554509219,0.270725924977476,0.301072948864868,-0.301072948864868
"varea",0.114320572641401,0.0236806653179467,0.327957903148082,0.651388872479818,0.264058854811346,0.0937415589834698,-0.479637064905574,0.214907464023943,0.315968900941646,1,0.989546647933137,0.75067643410595,0.653662318271807,-0.653662318271807
"vvolume",0.11868984845959,0.027002331881707,0.333220189967947,0.667118110272969,0.261507317886483,0.10065595238251,-0.486016697596714,0.210880257693679,0.327875554509219,0.989546647933137,1,0.714756421755641,0.748110648676833,-0.748110648676833
"veccentricity",0.0563533924883932,0.00785835939401809,0.134196237489527,0.257752262186918,0.0914867493954408,0.0500190555859215,-0.157148928628772,0.0945185198581544,0.270725924977476,0.75067643410595,0.714756421755641,1,0.350265134710791,-0.350265134710791
"vsphericity",0.105255002274694,0.0335190144966291,0.259688914106623,0.546535528728874,0.17365382196781,0.104095571185811,-0.368279352677777,0.12756659643779,0.301072948864868,0.653662318271807,0.748110648676833,0.350265134710791,1,-1
"mvsphericity",-0.105255002274694,-0.0335190144966291,-0.259688914106623,-0.546535528728874,-0.17365382196781,-0.104095571185811,0.368279352677777,-0.12756659643779,-0.301072948864868,-0.653662318271807,-0.748110648676833,-0.350265134710791,-1,1
