"pdb","r.seqent_wcnSC","r.seqent_wcnAA","r.seqent_wcnN","r.seqent_wcnCA","r.seqent_wcnC","r.seqent_wcnO","r.seqent_wcnCB","r.seqent_bfSC","r.seqent_bfAA","r.seqent_bfN","r.seqent_bfCA","r.seqent_bfC","r.seqent_bfO","r.seqent_bfCB","r.ddgent_wcnSC","r.ddgent_wcnAA","r.ddgent_wcnN","r.ddgent_wcnCA","r.ddgent_wcnC","r.ddgent_wcnO","r.ddgent_wcnCB","r.rsa_wcnSC","r.rsa_wcnAA","r.rsa_wcnN","r.rsa_wcnCA","r.rsa_wcnC","r.rsa_wcnO","r.rsa_wcnCB"
"132L",-0.600486235158123,-0.539160811667448,-0.4177121771347,-0.529146570799783,-0.462842351252337,-0.463009150361698,-0.578808645247225,0.492923615338941,0.49769077649673,0.247876831857349,0.275960609449042,0.259549216366636,0.333041161743962,0.413504539803931,-0.725797010228167,-0.640648308418568,-0.466284815106216,-0.561277734067663,-0.498284815106216,-0.506341463414634,-0.671364280094414,-0.943065482473695,-0.903891770402267,-0.68930054945775,-0.816382930031184,-0.757028916233658,-0.762437614886612,-0.890347985998886
"13PK",-0.583052177723805,-0.569381975758944,-0.482794678125173,-0.542094827010984,-0.50494614578005,-0.467856935635375,-0.577719855652003,0.344225033863761,0.328007456113719,0.250540116013087,0.259866281991899,0.248815767961243,0.235195780768991,0.291277529205914,-0.699037622060147,-0.678879565083075,-0.525595022229386,-0.647362527031202,-0.590070314703631,-0.581724557091241,-0.694648493640112,-0.84173079398531,-0.828529206405109,-0.667763562808361,-0.787218291091104,-0.749011442775999,-0.749906286892761,-0.82883212864737
"1A26",-0.563024475524476,-0.539326784326784,-0.417177822177822,-0.492121767121767,-0.453709901209901,-0.447450327450327,-0.547615162615163,0.500017517206234,0.461288220291965,0.335380340806124,0.381557642807453,0.348600699731892,0.345626515066431,0.433325447695081,-0.714247141747142,-0.667521922521923,-0.524377566877567,-0.61038073038073,-0.546242923742924,-0.535487845487846,-0.679819902319902,-0.855967097621143,-0.820205309042946,-0.670438877593953,-0.75015251131427,-0.703440228893231,-0.696835819505323,-0.817929483098743
"1A2T",-0.544045546817854,-0.489935011497955,-0.273919310514226,-0.393571973646715,-0.342197140107899,-0.306353711029048,-0.496448824672237,0.454940609935834,0.426028818387635,0.222423667336151,0.332458833244782,0.262876224157927,0.187382945676162,0.35539157314057,-0.763787578398733,-0.705482612002644,-0.54380478559583,-0.666180376313919,-0.54762528211075,-0.51153505654684,-0.734256038105213,-0.911990749455945,-0.891711978533305,-0.72601842564208,-0.850605485094205,-0.760135767198036,-0.736238906225214,-0.900714784671965
"1A4L",-0.603277942170343,-0.569402546793889,-0.409680905414884,-0.494405200233073,-0.452647846023688,-0.433955208745956,-0.565809380415768,0.389767056336479,0.37881697433029,0.234559299175036,0.308650080843589,0.245589489747062,0.224331570331043,0.319995618254954,-0.731284028101471,-0.706321805860899,-0.528656569628532,-0.642436034074158,-0.588739366062574,-0.613822317679422,-0.717707383313207,-0.880255990692548,-0.862301601875128,-0.700886311176746,-0.80901224863349,-0.76852816376453,-0.774859752362197,-0.861371055214224
"1A65",-0.529780995550581,-0.50205499828866,-0.479211055765008,-0.481301450100089,-0.450670609413226,-0.435346518734795,-0.518324296082081,0.448860383529917,0.441485086996155,0.404421474742993,0.423670084772832,0.388821481476552,0.380375314061643,0.44883445463366,-0.730000571769759,-0.690429699033522,-0.604033695048005,-0.63683472010933,-0.587062631284429,-0.573167313891287,-0.706391167375755,-0.856309386357596,-0.834325445672475,-0.752748715569493,-0.797855664143985,-0.761489673269465,-0.758846580864583,-0.845084497576862
"1A8H",-0.311421423079739,-0.279176373146719,-0.182828514222573,-0.250875957829605,-0.202006925983442,-0.185090567545168,-0.290193111011802,0.254806604312192,0.239386712614713,0.179079347519183,0.191051295578606,0.165195355654803,0.164459684668519,0.21161479597304,-0.678964443857775,-0.640869763479054,-0.482366121464486,-0.57997911991648,-0.513773607094428,-0.52135667742671,-0.645217812871251,-0.810698245581599,-0.778176469453002,-0.626938780332953,-0.713441617083711,-0.662197291372382,-0.663751855323999,-0.77645858368131
"1A8S",-0.442272853489959,-0.421564178978938,-0.328645290163895,-0.420616601844814,-0.361893952145487,-0.358071202437266,-0.445012952821781,0.251650299873396,0.2188188644738,0.15228909615928,0.208912817419199,0.184578826119305,0.160794873510518,0.245621069871113,-0.719879304894333,-0.697867074960248,-0.547876393679313,-0.667199052557576,-0.591095786995315,-0.593950971741869,-0.717928861606406,-0.899400119607694,-0.884294663908358,-0.756658465699986,-0.848911666686927,-0.799067915607712,-0.79045230093819,-0.889292801318532
"1AF7",-0.661516753549755,-0.628637016466124,-0.550877574380863,-0.610693943386987,-0.553951362954511,-0.505431414889765,-0.657226925446449,0.578114374125225,0.577545647594776,0.515032294951346,0.53428682824192,0.498882619831822,0.482562813420569,0.569795335379879,-0.713145248911672,-0.67294603207012,-0.529489488613576,-0.629393088663162,-0.563319600107921,-0.553898947767561,-0.687940089107972,-0.857813143798241,-0.826838625718471,-0.685943247164858,-0.763365519871471,-0.722685976089735,-0.722188761865457,-0.823822036952375
"1AGM",-0.369133954083659,-0.32524060009644,-0.173411972332692,-0.276842548186861,-0.214046199218105,-0.232081865898483,-0.335207593885606,0.263335319907017,0.235202588485897,0.164240621591891,0.173964019152157,0.157607028970296,0.15312612900502,0.244757343278627,-0.692902609867049,-0.650545445193832,-0.540714486537749,-0.613271685827729,-0.553078623686015,-0.54721400066055,-0.67047071574927,-0.86764229475439,-0.854447159264794,-0.739269076550988,-0.81024015456396,-0.780881701961601,-0.788032763540375,-0.853657049422697
"1AGY",-0.531507760985246,-0.490688231149079,-0.329254414948208,-0.454679585683745,-0.384084370198418,-0.389513684729807,-0.50171480951942,0.481589523722222,0.478406929560088,0.353200720159177,0.405939789822619,0.42199597783164,0.39363199542761,0.444645793200006,-0.756960467620366,-0.728040270099733,-0.552178785681324,-0.676142445903142,-0.595922448351745,-0.584145610251484,-0.744075479753507,-0.929502042960963,-0.920777602512889,-0.76328450793828,-0.871542440482889,-0.815328514210099,-0.805708774362836,-0.915307291659223
"1AH7",-0.484782809148183,-0.462434995336709,-0.401001559377655,-0.447040324311505,-0.373183276227002,-0.383712134503171,-0.485666538010703,0.437991870180785,0.421711337619457,0.368966616036077,0.383673386124318,0.349981333886301,0.370871019125848,0.414563298320756,-0.735557205689153,-0.695232927237268,-0.557634905221585,-0.654702200752352,-0.572313115570099,-0.575159324025492,-0.722477539596406,-0.896213883577508,-0.867944488153406,-0.743596377158318,-0.817314860076629,-0.77058771771549,-0.771969686134341,-0.870191311882337
"1AJ0",-0.572624529256268,-0.53915487647338,-0.403537947043279,-0.482952730800002,-0.421380934622581,-0.416875224298324,-0.537407190793701,0.2996052475524,0.276109714558884,0.2323654260828,0.250233562117666,0.238146981451528,0.234795689869382,0.275344440076543,-0.695938094719553,-0.679508216678114,-0.501683575553279,-0.607938931624492,-0.577096523125519,-0.607290918912527,-0.672373655580976,-0.890381059539624,-0.867518666244525,-0.721304384188339,-0.81525342691966,-0.777958223912965,-0.793656435277631,-0.8655866858159
"1AK0",-0.640824736485725,-0.597739272697813,-0.474415549963736,-0.540222094356276,-0.507382247875857,-0.511236705260705,-0.595110611024441,0.522399234586593,0.492630061055006,0.407088762306332,0.439716393006018,0.426146989586886,0.415323745652866,0.47679207871213,-0.719305545591506,-0.650921873879044,-0.502442460330401,-0.596664688349888,-0.514380841197686,-0.511176620208832,-0.685010011152489,-0.902464163271443,-0.863463267062779,-0.707603088292527,-0.80552297039356,-0.761584201589054,-0.768704851684592,-0.866079856073939
