"correlation","mean","median","min","quantile05","quantile25","quantile75","quantile95","max","sd"
"r.wcnCA.r4sJC",-0.561357369106006,-0.575531223176527,-0.769145962056781,-0.695946572333821,-0.638999293655015,-0.505621978161361,-0.369873129495885,-0.169312017394726,0.106927188329513
"r.wcnSC.r4sJC",-0.625198197260249,-0.64381952325721,-0.825114530152752,-0.76672272629967,-0.701381817394644,-0.573814490700871,-0.427311045989124,-0.22870130509695,0.105987574733352
"r.rsa.r4sJC",0.547948002627564,0.565851694546793,0.255138248361584,0.366521147741293,0.502276464255915,0.615769911302097,0.671485494925701,0.72085818164505,0.0942831692243469
"r.vareaSC.r4sJC",0.575613746291586,0.592424760087569,0.245373634740929,0.383328126670165,0.526428323324478,0.645442709770983,0.702280487720122,0.76787918309585,0.0978572435965836
"r.vvolumeSC.r4sJC",0.57047491585772,0.587554128332099,0.245828510703853,0.384134246554488,0.518017695579161,0.64250954954918,0.698594020592595,0.772986531479499,0.0978307143701621
"r.vvolumeCA.r4sJC",0.530163233716926,0.548692711639325,0.188258892383151,0.34370629948645,0.480551973862832,0.597033623389723,0.641396450145211,0.688095950050873,0.0923478636487017
"r.ddgent.r4sJC",0.523413759928056,0.54104196499054,0.1788849383146,0.341815465732117,0.464133905941137,0.582428537880919,0.657413259646244,0.736410800016558,0.0945849345954327
"r.vareaCA.r4sJC",0.538837312799858,0.557224595187251,0.186086908160353,0.353071215793871,0.488183036685422,0.606109851085686,0.653436729555317,0.688578484383326,0.0925201156708503
"r.bfSC.r4sJC",0.444037007527117,0.468161023118168,0.052368618265861,0.180039611098221,0.360827789516797,0.551417830602779,0.619621524596187,0.698353392813939,0.138320173379249
"r.hbe.r4sJC",-0.150103105091894,-0.143225330170371,-0.406322105516359,-0.299038107734444,-0.212285752230124,-0.0892187478155092,-0.00288283469018532,0.130492991390704,0.090444091798009
"r.distance.r4sJC",0.552422878008456,0.568116793187876,0.0423376331262,0.336464787327705,0.483525660768178,0.64242595605715,0.728084288314601,0.819184042269702,0.131706794888077
"r.bfSC.distance",0.578500858867426,0.597795095552319,0.0554831668320307,0.288772118557767,0.504957317639168,0.680403391585133,0.765496371469116,0.826122634365526,0.145692822977416
"r.bfSC.wcnSC",-0.677891241031963,-0.697127030288093,-0.8649741342651,-0.810532901849267,-0.748721417045177,-0.632880441827713,-0.460130062022126,-0.191493168792179,0.106755802228722
"r.distance.wcnSC",-0.885998273017322,-0.904274953779856,-0.972582753432135,-0.960605809994098,-0.933616099057028,-0.852703418057789,-0.753388042394935,-0.403956522523739,0.0710626306906696
"r.distance.vareaSC",0.686856074415928,0.696088119590873,0.189559754270308,0.464246873386027,0.609067259079867,0.786848773118943,0.85809331709218,0.906798813880801,0.125968611384013
"r.wcnSC.vareaSC",-0.8986943985829,-0.903873775567173,-0.966793213782318,-0.945893682284164,-0.924718141494041,-0.877261412253981,-0.829157570454623,-0.785459262520895,0.0356378265009119
