"pdb","r.seqent_ddgent","p.seqent_ddgent","r.seqent_asa","p.seqent_asa","r.seqent_rsa","p.seqent_rsa","r.seqent_wcnca","p.seqent_wcnca","r.seqent_hbe","p.seqent_hbe","r.ddgent_asa","p.ddgent_asa","r.ddgent_rsa","p.ddgent_rsa","r.ddgent_wcnca","p.ddgent_wcnca","r.ddgent_hbe","p.ddgent_hbe","r.asa_rsa","p.asa_rsa","r.asa_wcnca","p.asa_wcnca","r.asa_hbe","p.asa_hbe","r.rsa_wcnca","p.rsa_wcnca","r.rsa_hbe","p.rsa_hbe","r.wcnca_hbe","p.wcnca_hbe"
"132L",0.661804513432844,0,0.500712175573002,3.17631365653881e-09,0.516812356598814,8.00403077150236e-10,-0.518501912251891,6.89707180695872e-10,0.253119164235532,0.0045623518522655,0.593955045514184,3.56381590904675e-13,0.598939341714427,2.01394456667003e-13,-0.476187910652595,2.27097039890626e-08,0.310170419106083,0.000455226401992581,0.908581945666571,0,-0.687916344666973,1.08506763578373e-18,0.418287164869479,1.33671399060731e-06,-0.808653131589333,6.88729395600862e-30,0.521537551481548,5.26774623921256e-10,-0.529829297150307,2.48877899991192e-10
"13PK",0.441064731691869,0,0.414138379136772,0,0.42189316764191,0,-0.538382828004976,1.45583115904384e-32,0.0134311185784384,0.785007179327487,0.630796534687293,0,0.62504348381865,0,-0.570661563206473,3.15787981225652e-37,0.183904571034323,0.000165022146608518,0.957062277280855,0,-0.693608634767644,8.26922082320325e-61,0.293545502343562,1.08235020945813e-09,-0.750818043010291,2.12474537717994e-76,0.346847939849646,3.557154570899e-13,-0.318218562429044,3.21564764012905e-11
"1A26",0.605034813867698,0,0.474064300482492,0,0.494752681960407,0,-0.472747925576967,6.05327798278525e-21,0.103431674706739,0.0528585065294878,0.629976430079282,0,0.648669471009381,0,-0.515984455743402,2.84064340724627e-25,0.175995119709416,0.000928338793686034,0.950282763078503,0,-0.667386640062893,1.34315034898776e-46,0.310351634824038,2.83240386700356e-09,-0.75454265098366,8.11009832431725e-66,0.391790218350275,2.53130849614536e-14,-0.470060624620547,1.07466748789108e-20
"1A2T",0.496789252634583,1.02651531719289e-09,0.408484884777671,9.5969037561261e-07,0.403483518230733,1.3379579173467e-06,-0.371215169846588,1.00683561382453e-05,-0.0636169287129202,0.465231208391949,0.671652057589579,0,0.680274913024102,0,-0.590107473617323,6.2286838259608e-14,0.11041626175299,0.204058500696459,0.95253986263267,0,-0.763879859568506,7.06734017747285e-27,0.322912423485085,0.000141561312082761,-0.835724229033297,3.60182066119541e-36,0.38445441215206,4.51359192421563e-06,-0.403859835809567,1.3051648659308e-06
"1A4L",0.534792844661376,0,0.47902426619862,0,0.472137634188996,0,-0.499630944199743,2.25066928263162e-23,0.0135515798677802,0.801115687424887,0.67310755626321,0,0.668089712647404,0,-0.573151064540199,8.91303222874302e-32,0.136343698643375,0.0108900116773958,0.966244966815758,0,-0.727860693149316,1.19354582244399e-58,0.241062846341006,5.41491917704917e-06,-0.771606607356537,5.80284948159244e-70,0.311431247277282,2.90171264794026e-09,-0.350082398534813,1.80390128301426e-11
"1A65",0.503515598435324,0,0.464469044537683,0,0.462528205820505,0,-0.479962433935341,2.11334013739303e-30,0.273954246058413,3.97399002594057e-10,0.6413095748215,0,0.607026649647225,0,-0.554577431316526,5.52102243341809e-42,0.260726456821088,2.81848699934528e-09,0.943839947573114,0,-0.706265908964081,2.52237778736515e-77,0.438470992031619,0,-0.76783402794574,3.87936591816283e-99,0.484963464897655,0,-0.39898642938948,1.10947694990102e-20
"1A8H",0.239417262499745,5.98852016864271e-08,0.282534833837419,1.24786847521818e-10,0.268667184139814,1.02705755011812e-09,-0.23930578822719,6.07618734326919e-08,0.141104691899904,0.00156077376614916,0.666991413468417,0,0.695893587470048,0,-0.511712824630925,1.02252794767012e-34,0.282389980859127,1.27643229319574e-10,0.955767441921767,0,-0.647358709901225,1.01620120114479e-60,0.320924070118697,1.93178806284777e-13,-0.708401424220437,2.23061910033696e-77,0.399671569540073,0,-0.411042854602674,8.34446802364618e-22
"1A8S",0.527722541141764,0,0.429588852640451,1.09690034832965e-13,0.424482106430408,2.28261853862932e-13,-0.427811189783973,1.41723831880374e-13,0.0603336066952497,0.320609680345831,0.622331654314045,0,0.591849697431227,0,-0.575104514114776,1.94891749969846e-25,0.193428452072157,0.00131959939923032,0.923730136140906,0,-0.727597700731474,2.92613532936898e-46,0.395568918547349,1.16393561455652e-11,-0.797947498371554,1.56626474795692e-61,0.444534002561073,1.19904086659517e-14,-0.38114111237722,7.21083460475764e-11
"1AF7",0.462381173990456,6.66133814775094e-16,0.449811421068654,4.66293670342566e-15,0.490937863201918,0,-0.573174695844673,2.50308013414039e-25,0.162047580494657,0.00719050699695156,0.6652675565415,0,0.679811204085736,0,-0.513685353822254,7.49628757057519e-20,0.341278957601896,6.69673116959757e-09,0.944809960254608,0,-0.666220876538026,1.60232649109151e-36,0.437861142370772,2.93098878501041e-14,-0.750741375740442,6.76340029412654e-51,0.508201383232439,0,-0.46923147891937,2.08351681007718e-16
"1AGM",0.476221126023904,0,0.359830135603954,8.88178419700125e-16,0.333296485042848,1.17461596005342e-13,-0.250312412364438,3.79810760977675e-08,0.023090231770088,0.617555447771816,0.652650455168903,0,0.638535239804902,0,-0.508168979424722,3.16364262367637e-32,0.291435855045587,1.18132614801425e-10,0.958925646907526,0,-0.728758337428832,5.47532499687726e-79,0.447506563499982,0,-0.778212256713659,1.31957616553018e-96,0.485829573834381,0,-0.46503120675941,1.35781946826935e-26
