"pdb","variable","value"
"132L_A","sum.asa",6939
"132L_A","mean.asa",55.9596774193548
"132L_A","median.asa",39.5
"132L_A","sd.asa",53.5783597853972
"132L_A","r.asa.bfAA",0.721772316391102
"132L_A","r.asa.bfC",0.389004634088946
"132L_A","r.asa.bfCA",0.29466756649667
"132L_A","r.asa.bfCB",0.534338193399246
"132L_A","r.asa.bfN",0.331363940506717
"132L_A","r.asa.bfO",0.530937885076586
"132L_A","r.asa.bfSC",0.752651140892194
"132L_A","r.asa.ddgent",0.742089784722124
"132L_A","r.asa.hbe_mean",0.443686061546094
"132L_A","r.asa.hpshh",0.586020131630517
"132L_A","r.asa.hpskd",-0.619187140464083
"132L_A","r.asa.hpsww",-0.481928449220672
"132L_A","r.asa.rsa",0.960698597414577
"132L_A","r.asa.seqent",0.535523624518484
"132L_A","r.asa.sizeAA",0.379786745669311
"132L_A","r.asa.sizeSC",0.379786745669311
"132L_A","r.asa.wcnAA",-0.879220888966557
"132L_A","r.asa.wcnC",-0.705185856888883
"132L_A","r.asa.wcnCA",-0.745899506817357
"132L_A","r.asa.wcnCB",-0.821838917738776
"132L_A","r.asa.wcnN",-0.620292024778338
"132L_A","r.asa.wcnO",-0.713246095371358
"132L_A","r.asa.wcnSC",-0.897271415224383
"132L_A","sum.bfAA",2813.45667604603
"132L_A","mean.bfAA",22.6891667423067
"132L_A","median.bfAA",15.06
"132L_A","sd.bfAA",17.8580267324393
"132L_A","r.bfAA.bfC",0.679364760129243
"132L_A","r.bfAA.bfCA",0.678160214276884
"132L_A","r.bfAA.bfCB",0.810269160285978
"132L_A","r.bfAA.bfN",0.638290841484073
"132L_A","r.bfAA.bfO",0.802101102737971
"132L_A","r.bfAA.bfSC",0.923441264267492
"132L_A","r.bfAA.ddgent",0.505007081038552
"132L_A","r.bfAA.hbe_mean",0.465929677973406
"132L_A","r.bfAA.hpshh",0.426858494793545
"132L_A","r.bfAA.hpskd",-0.421680351625121
"132L_A","r.bfAA.hpsww",-0.348283228160052
"132L_A","r.bfAA.rsa",0.716945359045406
"132L_A","r.bfAA.seqent",0.49769077649673
"132L_A","r.bfAA.sizeAA",0.227666867819209
"132L_A","r.bfAA.sizeSC",0.227666867819209
