"pdb","r.seqent_ddgent","r.seqent_asa","r.seqent_rsa","r.seqent_hbe","r.ddgent_asa","r.ddgent_rsa","r.ddgent_hbe","r.asa_rsa","r.asa_hbe","r.rsa_hbe"
"132L_A",0.597512175566689,0.535523624518484,0.541964999059899,0.220395321653384,0.742089784722124,0.730665445616754,0.331971707879615,0.960698597414577,0.443686061546094,0.514402423939871
"13PK_A",0.462321840679066,0.445300883408039,0.436090266945205,0.0136685621775628,0.807787521220756,0.792999127530461,0.261468841718786,0.985027955316373,0.344412670635616,0.375219804449883
"1A26_A",0.598248418248418,0.566448704337652,0.574162481303212,0.114191565179472,0.819700886876246,0.824918359146008,0.238830959613034,0.980016399049109,0.338670918186571,0.395434740846378
"1A2T_A",0.485545918394304,0.472469503453731,0.458720067159686,-0.0757712799065651,0.841120410285848,0.825970034704242,0.191185117776103,0.972444859465328,0.309322682512951,0.372892645282995
"1A4L_A",0.552199824966948,0.541021495228356,0.529939511364713,0.032298263267369,0.820950576382198,0.813818113499466,0.181075603990875,0.987727214704108,0.271036809813145,0.310875448445844
"1A65_A",0.535152478982913,0.542887760362068,0.541190875793644,0.294974610959147,0.799236651141112,0.773136440531926,0.358628495375058,0.980673328010767,0.474138585939348,0.508492928629546
"1A8H_A",0.260516557646025,0.271612148468826,0.269809083917417,0.125557388805899,0.795474730627907,0.809736114093672,0.342048419261719,0.980884026020716,0.379164034669353,0.428684799785251
"1A8S_A",0.538951674107973,0.400447665967674,0.407198229299188,0.0560667402906042,0.794098722457165,0.781877441584349,0.275752522998331,0.978209652931273,0.417416565403838,0.458110105664183
"1AF7_A",0.537495305831766,0.51284056290525,0.54394675413854,0.18645310040858,0.817233835219661,0.828161122071766,0.408846193758487,0.975771884032444,0.484454567182025,0.53177118420721
"1AGM_A",0.493750156398524,0.399585864172332,0.388425259036233,0.0218569253011972,0.774024789483749,0.779381686186182,0.35587529062994,0.985350432096965,0.44998077128601,0.473941259877619
"1AGY_A",0.626731879133777,0.534361316176307,0.51113952389495,0.103742720965936,0.819557082543307,0.809252930523179,0.355172108550547,0.979162375039301,0.467520380557271,0.509753424694374
"1AH7_A",0.425752495534577,0.438434253071792,0.451433975700203,0.114956153183449,0.783052346349529,0.812187912703911,0.338684571941299,0.984002426101349,0.421388645866072,0.455322989215122
"1AJ0_A",0.436587941151476,0.463371617378486,0.445758924930235,0.0196695337685029,0.783913545151379,0.769749583475235,0.316246442018178,0.978988458062603,0.400226466812397,0.438010466118918
"1AK0_A",0.580002572899227,0.614261569293912,0.624940700677367,0.172731918301002,0.777153861525657,0.778345724529332,0.26127974398908,0.97501787774723,0.404627214952639,0.455147336214311
"1AKO_A",0.460315479275463,0.441555860966733,0.449153153289604,-0.0101388889389503,0.851898195437555,0.847060631495602,0.320391958301529,0.984326485639359,0.390023459836974,0.411807387913748
"1AMY_A",0.446340453641235,0.417066985093827,0.430870763079338,0.0737970171891858,0.789381159951964,0.777644023170563,0.221090013878067,0.976348713148221,0.338502283881571,0.374242488226357
"1AQ2_A",0.515511735760027,0.521277842136013,0.517702045452249,0.098356786686452,0.812514808459575,0.805806518097019,0.347231584369159,0.985364369915689,0.469372875444538,0.493039255737405
"1AQL_A",0.527959690034109,0.511750041927985,0.504749889714396,0.173665340054308,0.8248516756717,0.825979331716827,0.308365610728678,0.985642091605117,0.419595913056051,0.454044638927267
"1AST_A",0.614610792888463,0.553202369643413,0.583361379298939,0.0736603975715389,0.791000527704264,0.784550335199179,0.208122712418907,0.966573158125439,0.335242072566566,0.384074567630714
"1B04_A",0.404530841648502,0.414616147133784,0.434473842934299,0.0481230744282819,0.80984615691385,0.828912014595339,0.256040686300894,0.9730002090142,0.309858318007355,0.360161269462375
"1B2R_A",0.447290768196908,0.448224497368443,0.435305798129435,0.155415526110043,0.814222943531411,0.786381660034994,0.356551603621466,0.973521241496508,0.496657348079016,0.53725250334859
"1BBS_A",0.609860985234919,0.615362942874564,0.591981621744848,0.180128780511162,0.798846948730166,0.771346855216192,0.331332205458073,0.980122876076956,0.522966986809845,0.554070208054681
"1BF2_A",0.389415306738496,0.363363083350936,0.364666030729198,0.0830337223839619,0.752804583565771,0.741571459779353,0.308545611633304,0.981746147065917,0.434788928351139,0.463733862736118
"1BG0_A",0.578462514789977,0.550209016028527,0.559186284598079,0.120934376819668,0.786790810345108,0.781179468246063,0.203266796052499,0.980373942737592,0.338486511096253,0.378274193961612
"1BH2_A",0.475614010222704,0.484159670083158,0.522015210167131,0.067916127127268,0.801761970268142,0.823833856008163,0.331950327540649,0.98069949341657,0.434767710031475,0.46237837201403
"1BOL_A",0.489785498711869,0.463233334000563,0.469932474211497,0.119683949355453,0.760029011725358,0.744104319698443,0.258996222839247,0.966868477124181,0.416547918851857,0.450670712499712
"1BP2_A",0.637799899973726,0.595108166973864,0.571956689819616,0.130365980840567,0.825866959418766,0.816672756505478,0.163426391210221,0.972010379683037,0.225575396423671,0.27276481479175
"1BQC_A",0.495657701348359,0.496332844155888,0.494984211799507,0.167164104874318,0.778977625511172,0.765956564502065,0.292403635922504,0.97755729438098,0.401620768450784,0.433254662577441
"1BS0_A",0.429008079474804,0.4701852423262,0.456163659123552,0.0209478795616144,0.789161194997538,0.799720299598372,0.299892749997697,0.976192625298961,0.334284274406605,0.385651560036758
"1BS4_A",0.50024790525092,0.510964358028852,0.513781722884993,0.0970210802600637,0.830432897537855,0.830595261932245,0.328452501952977,0.979072948818956,0.398841506853056,0.451742949188803
"1BS9_A",0.543418348514645,0.454750882931924,0.451382223713478,0.135748628052083,0.780087287351852,0.748255917752732,0.300376456667021,0.975603368227081,0.487822575335801,0.52795743002604
"1BT1_A",0.506695467164533,0.521178824662179,0.52239245980557,0.112164895645102,0.834835730094473,0.835338319111628,0.277315311994951,0.983384536032867,0.340860058237243,0.380656183918226
"1BU7_A",0.431832574467607,0.376156065139673,0.365992117663303,0.0937130511135804,0.841572159976375,0.837617431036038,0.340340905017046,0.98091801751109,0.428018554952984,0.461482122160144
"1BVV_A",0.513396516613983,0.440399188975399,0.427558928384285,0.213218335874237,0.781565189907095,0.763525987729544,0.33358579532452,0.968302465891083,0.534875620074948,0.576852846429436
"1BVZ_A",0.50889570544876,0.470145307672588,0.490691291155679,0.139723749977301,0.815212699697196,0.807898178837315,0.346705876455598,0.982169603604275,0.374551948618007,0.425011185354352
"1BWL_A",0.534590065639094,0.504487576609825,0.497270791079346,0.0372842558081628,0.812020571974497,0.803212143019995,0.216026639990457,0.983425002371343,0.283332257030307,0.293295224361177
"1BWZ_A",0.528132179394837,0.532902685005236,0.502590971612092,0.264641534939352,0.830512468244795,0.796088446725803,0.469663518811888,0.979291258128215,0.574642790305579,0.608324662597803
"1BYA_A",0.522649915655513,0.521990079476322,0.518444584904474,0.0551698654680903,0.807663859109858,0.79785907597718,0.296298377479495,0.985488808798909,0.399373161841516,0.43080745202658
"1BZC_A",0.57753328999416,0.582243207276248,0.59089633412627,0.128132964761578,0.863109051055451,0.863191510624278,0.373480692413425,0.98737092819967,0.408776973154183,0.429894246986001
"1C82_A",0.497603966098587,0.470169435629027,0.471765151652619,0.214677450774552,0.83350464709567,0.842582184281863,0.440916151207985,0.989142484871709,0.510070691995244,0.527318854520598
"1CA2_A",0.673011145430313,0.610089535303306,0.624154663064281,0.131170969174713,0.816216853294252,0.812884138485975,0.351986540751904,0.979709728537445,0.441564689350362,0.470984793069064
"1CB8_A",0.513376043315506,0.512470764282563,0.512797895160535,0.172149745248474,0.809484732990389,0.810726548606763,0.335301286833992,0.986834858426138,0.431311209088259,0.450378278687301
"1CBX_A",0.493114295868202,0.486636893079969,0.500249056642393,0.0796738591306443,0.754681817202323,0.738164013633733,0.279944221150565,0.981278647745238,0.464700389724119,0.489711742158381
"1CDG_A",0.475598996369567,0.392176072492705,0.397319948071135,0.103343758626294,0.763582260885051,0.745425889185502,0.282499199350606,0.980805524945818,0.363547761785769,0.397519887302096
"1CEL_A",0.666443119053276,0.579641288520619,0.579172286215071,0.218188730910314,0.820921496757819,0.803021886580412,0.325706234128028,0.978528521780979,0.470421789186178,0.498589425192059
"1CHD_A",0.516828727732779,0.488716879116075,0.462576326552701,0.0752605338658211,0.842006727428247,0.822574142153087,0.277477694828981,0.976473929805959,0.439175466338995,0.482115536361618
"1CHK_B",0.498598916165266,0.439477381960204,0.422456168221276,0.164450950080004,0.786487611838945,0.753327308913807,0.395873511462044,0.964922164644184,0.502153943381007,0.561768079042567
"1CM0_A",0.435029588137083,0.371971096659057,0.354653165529989,0.146806867656672,0.80866284516958,0.795062733456612,0.422630878882461,0.971725067260489,0.551243556497237,0.59318605470012
"1CNS_A",0.689704082430626,0.600593529969423,0.595434060778624,0.274327524512723,0.79451945591592,0.767797533099935,0.433414686200787,0.969995581199201,0.50484304660925,0.541935913418882
"1COY_A",0.445226072612026,0.385198915530533,0.378643088074632,0.125006001246283,0.784398161604494,0.770241842574481,0.301844793811067,0.980736547562942,0.385122328679316,0.41814455138057
