"","zr4s_JC","seqent","ddgent","rsa","hbe","hpshh","wcnSC","bfSC","vnfaces","varea","vvolume","veccentricity","vsphericity","mvsphericity"
"zr4s_JC",0,-0.135043940409325,-0.203885438006141,-0.322675675587159,0.0196327181978646,0.0185955279979305,-0.306700773027157,-0.138282668631073,-0.164585262898859,-0.327326954267329,-0.314444730146178,-0.337071987963498,-0.27735334005657,-0.27735334005657
"seqent",-0.135043940409325,0,-0.204376272882925,-0.307862950134397,-0.00484544541332101,-0.0259655541239748,-0.243343924758652,-0.0902709243060952,-0.123290126699027,-0.330021678364796,-0.317665897128347,-0.30084988711585,-0.277627755253738,-0.277627755253738
"ddgent",-0.203885438006141,-0.204376272882925,0,-0.329090687457808,0.0382236039978685,-0.275582617961999,-0.241949927343896,-0.138170214159645,0.0849799916264114,-0.390814479821953,-0.370285479307398,-0.469747766752619,-0.345665918568465,-0.345665918568465
"rsa",-0.322675675587159,-0.307862950134397,-0.329090687457808,0,0.0596479602245198,-0.289878099617707,-0.17258869805631,-0.10110949559525,0.218806525957405,-0.227133533611504,-0.184146767933995,-0.518329514533411,-0.231159809013299,-0.231159809013299
"hbe",0.0196327181978646,-0.00484544541332101,0.0382236039978685,0.0596479602245198,0,-0.0759748838903329,-0.00614035750052458,-0.0405655402526761,0.0125821701117482,0.0221969062617873,0.0453962833102171,-0.1457842659831,-0.121122024068469,-0.121122024068469
"hpshh",0.0185955279979305,-0.0259655541239748,-0.275582617961999,-0.289878099617707,-0.0759748838903329,0,-0.105675480254551,0.0886810872018622,0.0554980213913795,-0.224432195109094,-0.183135580968709,-0.265744297544649,-0.309722786635937,-0.309722786635937
"wcnSC",-0.306700773027157,-0.243343924758652,-0.241949927343896,-0.17258869805631,-0.00614035750052458,-0.105675480254551,0,-0.107747594139669,-0.192700111236484,-0.147069783021788,-0.116440835792906,-0.381879263476216,-0.213678733568242,-0.213678733568242
"bfSC",-0.138282668631073,-0.0902709243060952,-0.138170214159645,-0.10110949559525,-0.0405655402526761,0.0886810872018622,-0.107747594139669,0,-0.00777174912419146,-0.114855082471018,-0.113632663912422,-0.177113690722187,-0.139195660666761,-0.139195660666761
"vnfaces",-0.164585262898859,-0.123290126699027,0.0849799916264114,0.218806525957405,0.0125821701117482,0.0554980213913795,-0.192700111236484,-0.00777174912419146,0,0.229176731892189,0.313089573833572,0.103683764466688,-0.120096513040819,-0.120096513040819
"varea",-0.327326954267329,-0.330021678364796,-0.390814479821953,-0.227133533611504,0.0221969062617873,-0.224432195109094,-0.147069783021788,-0.114855082471018,0.229176731892189,0,0.000963904947996808,-0.0619771555909795,-0.104898404509108,-0.104898404509108
"vvolume",-0.314444730146178,-0.317665897128347,-0.370285479307398,-0.184146767933995,0.0453962833102171,-0.183135580968709,-0.116440835792906,-0.113632663912422,0.313089573833572,0.000963904947996808,0,-0.0890112209841694,0.0744566733387652,0.0744566733387652
"veccentricity",-0.337071987963498,-0.30084988711585,-0.469747766752619,-0.518329514533411,-0.1457842659831,-0.265744297544649,-0.381879263476216,-0.177113690722187,0.103683764466688,-0.0619771555909795,-0.0890112209841694,0,-0.355321144759194,-0.355321144759194
"vsphericity",-0.27735334005657,-0.277627755253738,-0.345665918568465,-0.231159809013299,-0.121122024068469,-0.309722786635937,-0.213678733568242,-0.139195660666761,-0.120096513040819,-0.104898404509108,0.0744566733387652,-0.355321144759194,0,-1.11022302462516e-16
"mvsphericity",-0.27735334005657,-0.277627755253738,-0.345665918568465,-0.231159809013299,-0.121122024068469,-0.309722786635937,-0.213678733568242,-0.139195660666761,-0.120096513040819,-0.104898404509108,0.0744566733387652,-0.355321144759194,-1.11022302462516e-16,0
