"correlation","mean","median","min","quantile05","quantile25","quantile75","quantile95","max","sd"
"r.wcnCA.r4sJC",-0.209006864930772,-0.216943596683842,-0.503271608932639,-0.403220464253637,-0.309424585252969,-0.118389285007988,0.0329282700110309,0.128721586698225,0.128839245125395
"r.wcnSC.r4sJC",-0.312246366965807,-0.317833445422404,-0.555473070351222,-0.505864612737475,-0.403114818879793,-0.230325268883203,-0.11013999545771,0.082015737217679,0.123806869009279
"r.rsa.r4sJC",0.068766098906695,0.0804125334019766,-0.226171310538079,-0.116193394364717,-0.0150483776388162,0.152386520105459,0.23835689079298,0.301464809882939,0.110287773837283
"r.vareaSC.r4sJC",0.0919289101862308,0.0881676027432069,-0.101608815312539,-0.0400949370796115,0.0438792172886469,0.150440457082864,0.218510078451107,0.291558920469996,0.0771634976510693
"r.vvolumeCA.r4sJC",0.0898616788451439,0.0975956679089135,-0.112571428681864,-0.0359612326523946,0.0507762721649693,0.139003832260559,0.218420433225842,0.262769236637719,0.0723078549291595
"r.ddgent.r4sJC",0.204059924678192,0.206333320523588,-0.0790513355272622,0.0235944341792906,0.139046715324004,0.272723133482171,0.36983924283941,0.437628455500757,0.102551765261322
"r.vareaCA.r4sJC",0.103213964206119,0.109065196771547,-0.0946880270324889,-0.0338832417476669,0.0623509305131578,0.154097275860841,0.222440871759387,0.299047957575141,0.0738322198064489
"r.bfSC.r4sJC",0.154116917620162,0.169609481176586,-0.268506875009799,-0.0831409867670683,0.0554495146129778,0.253664835946159,0.372366552097737,0.594927946531994,0.14142933202369
"r.hbe.r4sJC",0.0752189402386291,0.0727145126678462,-0.214663202363415,-0.09212092360684,0.0198416551744373,0.135020487602,0.223953204898796,0.390776746021358,0.0966354897801827
"r.distance.r4sJC",0.276192429124077,0.27501393438638,-0.170814485319216,0.0263857177057028,0.176167827277735,0.383243872556325,0.526173458326052,0.60965827991176,0.149259193937108
"r.bfSC.distance",0.300977208876916,0.315344492318172,-0.281521506527721,-0.0179863493673896,0.203461027641878,0.423447760478994,0.536862229290059,0.677191043433358,0.171253851882211
"r.bfSC.wcnSC",-0.385136424263504,-0.405062852588031,-0.705141770051001,-0.5964940483134,-0.473909339993347,-0.289943994415889,-0.117205701691463,0.0579863949596066,0.143622545046992
"r.distance.wcnSC",-0.858485964355557,-0.867583454367495,-0.943091132011492,-0.922562615758966,-0.894622610937645,-0.834558299078278,-0.765484653405889,-0.511166123934458,0.0533112015820293
"r.distance.vareaSC",0.26948767044463,0.270978619123704,0.0235268316739774,0.0949165295324241,0.192906544492771,0.352375428053278,0.430297168105777,0.542387935206244,0.103309590245753
"r.wcnSC.vareaSC",-0.370239240470829,-0.374893424590592,-0.556450977297126,-0.494429343941969,-0.425844821689901,-0.311243650039898,-0.233621052703412,-0.167782969589541,0.0783037250543475
