"correlation","mean","median","min","quantile05","quantile25","quantile75","quantile95","max","sd"
"r.wcnCA.r4sJC",-0.550360079649985,-0.562015542192109,-0.753601429053847,-0.682531899867489,-0.624063412691282,-0.490992696208955,-0.359518309193809,-0.216206893787276,0.102469600788418
"r.wcnSC.r4sJC",-0.621682347887541,-0.638744789367918,-0.816224350016489,-0.754542823537725,-0.694002519996719,-0.565673921892951,-0.422383285889401,-0.281405633730096,0.10071678515313
"r.rsa.r4sJC",0.54554791245853,0.568970233168601,0.26053335995508,0.366132318792659,0.489362928242185,0.607198632611545,0.666225878524181,0.714957481796601,0.0908801094108224
"r.vareaSC.r4sJC",0.574241422313601,0.590861663764714,0.296794984812773,0.375366933186644,0.521935167965805,0.647093131464613,0.701063580397818,0.739971166960759,0.0928812004338865
"r.vvolumeSC.r4sJC",0.569453547006692,0.585461805570302,0.28764336853641,0.380164223219268,0.516314374542989,0.642076573119955,0.693995301998368,0.747829283336779,0.0927841260766986
"r.vvolumeCA.r4sJC",0.525290007215247,0.542672246435783,0.279738156070047,0.328121638090527,0.475768764090237,0.592686063520134,0.642317418540558,0.677813482056702,0.0883250530899549
"r.ddgent.r4sJC",0.548988468022963,0.561540999532354,0.241290026638627,0.371744272270951,0.49107475865979,0.605822171070613,0.689040020565353,0.741696218937292,0.0931753132589602
"r.vareaCA.r4sJC",0.534497066766601,0.551347494857319,0.294986130015801,0.338399157911879,0.483300742298339,0.606118220970825,0.654835350342927,0.679854389473054,0.0883599453717836
"r.bfSC.r4sJC",0.442662858116744,0.468235017335533,0.0693898893403658,0.180701910133801,0.361008308517671,0.539365872238691,0.625836815863188,0.716988231350668,0.133802090748863
"r.hbe.r4sJC",-0.139214134930868,-0.132239468971934,-0.403894535425089,-0.296946350351336,-0.208909293720921,-0.0799459455079874,0.00600045566193348,0.16445069385776,0.0907851956854498
"r.distance.r4sJC",0.547180330763463,0.564822101280979,0.0359061935053003,0.334046006054803,0.477541965676115,0.640890325604674,0.717730667044901,0.806984732339667,0.126914064144775
"r.bfSC.distance",0.578500858867426,0.597795095552319,0.0554831668320307,0.288772118557767,0.504957317639168,0.680403391585133,0.765496371469116,0.826122634365526,0.145692822977416
"r.bfSC.wcnSC",-0.677891241031963,-0.697127030288093,-0.8649741342651,-0.810532901849267,-0.748721417045177,-0.632880441827713,-0.460130062022126,-0.191493168792179,0.106755802228722
"r.distance.wcnSC",-0.885998273017322,-0.904274953779856,-0.972582753432135,-0.960605809994098,-0.933616099057028,-0.852703418057789,-0.753388042394935,-0.403956522523739,0.0710626306906696
"r.distance.vareaSC",0.686856074415928,0.696088119590873,0.189559754270308,0.464246873386027,0.609067259079867,0.786848773118943,0.85809331709218,0.906798813880801,0.125968611384013
"r.wcnSC.vareaSC",-0.8986943985829,-0.903873775567173,-0.966793213782318,-0.945893682284164,-0.924718141494041,-0.877261412253981,-0.829157570454623,-0.785459262520895,0.0356378265009119
