"pdb","p.seqent_ddgent","p.seqent_asa","p.seqent_rsa","p.seqent_hbe","p.ddgent_asa","p.ddgent_rsa","p.ddgent_hbe","p.asa_rsa","p.asa_hbe","p.rsa_hbe"
"132L_A",2.37377021917947e-13,1.46960879782228e-10,8.00219594744748e-11,0.0139058154416868,6.15863870951852e-23,5.88791938492048e-22,0.000165460338789758,9.35283502753077e-70,2.45394258805717e-07,9.88336836848064e-10
"13PK_A",2.28684536995363e-23,1.31876150048334e-21,1.07792191407905e-20,0.781301864701049,7.72112332174295e-97,6.40257152770552e-91,6.48929296892009e-08,1.92566235618051e-317,5.31320406695429e-13,2.53961891980569e-15
"1A26_A",0,3.55560224727336e-31,3.60506353609292e-32,0.0324561281669316,1.80651453487951e-86,1.76072975055641e-88,6.06319383421015e-06,7.50247361362112e-247,7.22468584418955e-11,1.38150612595918e-14
"1A2T_A",2.74166230495468e-09,8.22655638686737e-09,2.48805376115432e-08,0.384218228651815,4.79250229246304e-37,1.15381506746826e-34,0.026908174467403,2.37943918514041e-85,0.00027612026312619,9.1127236542274e-06
"1A4L_A",3.62000250422261e-29,7.53162856459862e-28,1.36762788009086e-26,0.548169606387415,3.25887261901887e-86,1.43488702579373e-83,0.000689135121006706,4.36823739351249e-281,2.83112672516249e-07,3.10571588232482e-09
"1A65_A",1.09583317801339e-38,5.65297207962935e-40,1.09036674571485e-39,1.41234523911743e-11,4.4582404291824e-113,2.47610453027444e-101,9.63558015578548e-17,0,1.30124363767824e-29,1.7021015504722e-34
"1A8H_A",3.35614526396233e-09,6.62957925692651e-10,8.67268168664851e-10,0.00492871757074826,2.08266656072517e-110,2.23996459834869e-117,3.60796107864178e-15,0,1.53058398532111e-18,9.08723444159625e-24
"1A8S_A",5.70598577071863e-22,6.15569747687712e-12,2.50587014847418e-12,0.356085326663492,1.51786103664503e-60,1.50933412498109e-57,3.7412781633435e-06,4.72326283268293e-187,6.18278591025653e-13,1.43490638232409e-15
"1AF7_A",6.49435488106675e-22,8.81215298491724e-20,1.67925380389996e-22,0.00193871803856048,4.664711175316e-67,2.37629628769181e-70,1.82743136160864e-12,1.52231655731568e-181,1.56813470898576e-17,2.10511751566444e-21
"1AGM_A",2.96953084444788e-30,1.91270126264449e-19,2.24741093151485e-18,0.636468941571104,6.08145315367589e-95,4.46003537270962e-97,1.76816904049305e-15,0,8.26060205561949e-25,1.08168471942964e-27
