            pdb_name            std_best             sp_best          sp_default             sp_diff                nres
              132L_A              11.800              -0.571              -0.562               0.010                 124
              13PK_A              13.200              -0.587              -0.571               0.016                 415
              1A26_A              10.600              -0.697              -0.685               0.012                 351
              1A2T_A              43.600              -0.722              -0.680               0.041                 134
              1A4L_A               9.600              -0.582              -0.560               0.022                 348
              1A65_A              10.200              -0.745              -0.737               0.009                 504
              1A8H_A              12.400              -0.694              -0.678               0.016                 500
              1A8S_A              49.400              -0.613              -0.602               0.010                 273
              1AF7_A              13.800              -0.818              -0.801               0.017                 274
              1AGM_A              12.000              -0.770              -0.769               0.002                 470
              1AGY_A              22.200              -0.829              -0.817               0.012                 197
              1AH7_A              12.000              -0.852              -0.851               0.001                 245
              1AJ0_A              11.800              -0.595              -0.604              -0.009                 282
              1AK0_A              12.000              -0.706              -0.695               0.011                 264
              1AKO_A              11.600              -0.826              -0.813               0.013                 268
              1AMY_A              15.800              -0.571              -0.579              -0.008                 403
              1AQ2_A              11.400              -0.794              -0.782               0.012                 534
              1AQL_A              11.400              -0.558              -0.550               0.008                 532
              1AST_A              10.800              -0.489              -0.479               0.010                 200
              1B04_A              10.200              -0.580              -0.573               0.007                 310
              1B2R_A               8.800              -0.780              -0.768               0.013                 295
              1BBS_A              13.600              -0.495              -0.480               0.015                 330
              1BF2_A              20.200              -0.826              -0.841              -0.015                 750
              1BG0_A              20.400              -0.769              -0.742               0.027                 356
              1BH2_A              10.400              -0.707              -0.714              -0.007                 315
              1BOL_A              12.800              -0.658              -0.638               0.020                 222
              1BP2_A              10.000              -0.644              -0.644               0.000                 123
              1BQC_A              49.400              -0.780              -0.741               0.039                 302
              1BS0_A               7.200              -0.547              -0.524               0.024                 383
              1BS4_A              22.000              -0.731              -0.732              -0.001                 168
              1BS9_A               6.800              -0.797              -0.755               0.042                 207
              1BT1_A              11.400              -0.671              -0.674              -0.003                 336
              1BU7_A              10.200              -0.627              -0.612               0.015                 455
              1BVV_A              10.000              -0.799              -0.791               0.009                 185
              1BVZ_A              17.600              -0.672              -0.667               0.005                 585
              1BWL_A              10.600              -0.663              -0.648               0.014                 399
              1BWZ_A               5.200              -0.517              -0.391               0.127                 274
              1BYA_A               9.600              -0.605              -0.593               0.012                 491
              1BZC_A              10.000              -0.679              -0.657               0.022                 297
              1C82_A              23.200              -0.803              -0.785               0.018                 719
              1CA2_A              49.200              -0.867              -0.839               0.027                 256
