            pdb_name         cutoff_best             sp_best          sp_default             sp_diff                nres
              132L_A              14.900              -0.585              -0.562               0.023                 124
              13PK_A              16.400              -0.585              -0.571               0.014                 415
              1A26_A              16.200              -0.708              -0.685               0.023                 351
              1A2T_A              21.200              -0.734              -0.680               0.054                 134
              1A4L_A              12.400              -0.596              -0.560               0.035                 348
              1A65_A              14.900              -0.733              -0.737              -0.004                 504
              1A8H_A              17.500              -0.690              -0.678               0.012                 500
              1A8S_A              38.600              -0.633              -0.602               0.030                 273
              1AF7_A              18.200              -0.828              -0.801               0.027                 274
              1AGM_A              18.900              -0.760              -0.769              -0.008                 470
              1AGY_A              19.700              -0.834              -0.817               0.018                 197
              1AH7_A              17.200              -0.839              -0.851              -0.012                 245
              1AJ0_A              14.700              -0.595              -0.604              -0.009                 282
              1AK0_A              15.700              -0.718              -0.695               0.024                 264
              1AKO_A              16.800              -0.837              -0.813               0.025                 268
              1AMY_A              21.700              -0.567              -0.579              -0.012                 403
              1AQ2_A              17.400              -0.795              -0.782               0.014                 534
              1AQL_A              16.800              -0.566              -0.550               0.016                 532
              1AST_A              13.800              -0.492              -0.479               0.013                 200
              1B04_A              17.500              -0.590              -0.573               0.017                 310
              1B2R_A              13.700              -0.771              -0.768               0.004                 295
              1BBS_A              16.100              -0.496              -0.480               0.016                 330
              1BF2_A              23.300              -0.800              -0.841              -0.041                 750
              1BG0_A              20.500              -0.763              -0.742               0.021                 356
              1BH2_A              16.000              -0.712              -0.714              -0.002                 315
              1BOL_A              16.500              -0.683              -0.638               0.045                 222
              1BP2_A               6.500              -0.613              -0.644              -0.031                 123
              1BQC_A              31.800              -0.779              -0.741               0.038                 302
              1BS0_A              10.700              -0.529              -0.524               0.005                 383
              1BS4_A              14.200              -0.724              -0.732              -0.008                 168
              1BS9_A               9.200              -0.796              -0.755               0.040                 207
              1BT1_A              18.500              -0.662              -0.674              -0.012                 336
              1BU7_A              14.800              -0.625              -0.612               0.013                 455
              1BVV_A              11.600              -0.785              -0.791              -0.006                 185
              1BVZ_A              21.500              -0.673              -0.667               0.005                 585
              1BWL_A              15.000              -0.666              -0.648               0.018                 399
              1BWZ_A               7.900              -0.512              -0.391               0.122                 274
              1BYA_A              17.000              -0.602              -0.593               0.010                 491
              1BZC_A              10.500              -0.688              -0.657               0.032                 297
              1C82_A              31.600              -0.792              -0.785               0.007                 719
              1CA2_A              32.900              -0.868              -0.839               0.029                 256
              1CB8_A              27.500              -0.809              -0.801               0.009                 674
              1CBX_A              43.400              -0.430              -0.409               0.020                 307
              1CDG_A              18.700              -0.689              -0.694              -0.005                 686
              1CEL_A              18.100              -0.695              -0.677               0.018                 433
              1CHD_A              11.600              -0.757              -0.755               0.002                 198
              1CHK_B              15.800              -0.418              -0.411               0.007                 238
              1CM0_A              16.300              -0.804              -0.816              -0.013                 162
              1CNS_A              13.100              -0.750              -0.752              -0.002                 243
              1COY_A              14.700              -0.734              -0.743              -0.010                 501
              1CQQ_A              10.200              -0.619              -0.623              -0.004                 180
              1CVR_A              20.500              -0.870              -0.879              -0.009                 432
              1CWY_A              16.200              -0.739              -0.724               0.015                 500
              1CZ1_A              15.000              -0.854              -0.858              -0.003                 394
              1CZF_A              15.400              -0.723              -0.707               0.017                 335
              1D1Q_A              11.600              -0.759              -0.745               0.014                 159
              1D4C_A              26.000              -0.746              -0.743               0.004                 570
              1D6O_A              14.600              -0.624              -0.628              -0.004                 107
              1DDJ_A              14.600              -0.650              -0.633               0.017                 247
              1DGK_N              25.100              -0.789              -0.740               0.049                 898
              1DGS_A              22.000              -0.525              -0.521               0.004                 581
              1DIN_A              25.100              -0.708              -0.694               0.014                 232
              1DNP_A              20.700              -0.730              -0.742              -0.012                 469
              1DVE_A              17.700              -0.533              -0.477               0.056                 214
              1E0C_A              15.700              -0.665              -0.662               0.004                 270
              1E1A_A              11.300              -0.857              -0.863              -0.006                 312
              1E6E_A              14.800              -0.707              -0.661               0.046                 457
              1EB6_A              20.700              -0.762              -0.747               0.016                 177
              1EH5_A              28.000              -0.806              -0.770               0.035                 279
              1EUG_A              14.500              -0.635              -0.634               0.001                 225
              1EUU_A              16.700              -0.529              -0.458               0.071                 601
              1EX1_A              16.000              -0.702              -0.669               0.033                 602
              1EXN_A               8.900              -0.372              -0.303               0.070                 267
              1EXP_A              28.200              -0.703              -0.705              -0.002                 312
              1EYP_A              11.200              -0.459              -0.435               0.023                 212
              1FF3_A              13.800              -0.685              -0.641               0.044                 210
              1FGH_A              23.600              -0.813              -0.840              -0.027                 753
              1FHL_A              22.400              -0.533              -0.518               0.015                 334
              1FOA_A              19.700              -0.654              -0.669              -0.016                 342
              1G24_A              21.800              -0.594              -0.567               0.027                 210
              1G6T_A              27.200              -0.739              -0.716               0.022                 427
              1G8O_A              11.500              -0.605              -0.616              -0.012                 287
              1GA8_A              24.400              -0.807              -0.756               0.051                 271
              1GAL_A              30.100              -0.737              -0.713               0.024                 581
              1GCU_A              21.100              -0.795              -0.798              -0.002                 292
              1GOG_A              22.900              -0.723              -0.739              -0.017                 639
              1GP5_A              19.500              -0.763              -0.782              -0.019                 346
              1GQ8_A              15.100              -0.761              -0.765              -0.004                 318
              1H19_A              16.600              -0.682              -0.674               0.008                 610
              1H3I_A              14.200              -0.592              -0.567               0.025                 293
              1HKA_A              15.800              -0.659              -0.639               0.020                 158
              1HPL_A              27.600              -0.807              -0.778               0.029                 449
              1HPM_A              21.500              -0.816              -0.814               0.001                 378
              1HQC_A              17.900              -0.383              -0.372               0.011                 314
              1I1E_A              16.900              -0.711              -0.619               0.091                1287
              1I1I_P              17.100              -0.662              -0.677              -0.015                 665
              1I9A_A               9.000              -0.375              -0.297               0.078                 175
              1IDJ_A              20.000              -0.735              -0.731               0.004                 359
              1IG8_A              15.400              -0.645              -0.601               0.044                 469
              1IM5_A              12.500              -0.724              -0.683               0.042                 179
              1INP_A              21.900              -0.794              -0.814              -0.020                 400
              1IU4_A              16.200              -0.700              -0.683               0.017                 331
              1J00_A              35.600              -0.656              -0.544               0.111                 176
              1J09_A              27.200              -0.566              -0.591              -0.024                 468
              1JH6_A              15.200              -0.567              -0.544               0.023                 181
              1JMS_A              14.700              -0.646              -0.658              -0.012                 360
              1JOA_A              43.800              -0.456              -0.395               0.061                 446
              1JS4_A              19.100              -0.641              -0.616               0.025                 605
              1K30_A              13.600              -0.695              -0.719              -0.024                 363
              1KL7_A              23.400              -0.588              -0.576               0.012                 503
              1KNP_A              44.600              -0.655              -0.627               0.028                 529
              1L1D_A              12.600              -0.775              -0.774               0.001                 142
              1L1L_A              16.500              -0.696              -0.698              -0.002                 717
              1L6P_A              13.700              -0.613              -0.621              -0.008                 121
              1L7N_A              11.800              -0.512              -0.500               0.013                 207
              1L7Q_A              22.200              -0.735              -0.737              -0.002                 571
              1L8T_A              16.700              -0.647              -0.631               0.016                 263
              1L9X_A              15.500              -0.742              -0.751              -0.009                 288
              1LBA_A              21.600              -0.707              -0.669               0.038                 146
              1LDM_A              48.700              -0.715              -0.667               0.048                 329
              1LJL_A              19.000              -0.777              -0.741               0.037                 130
              1LVH_A              24.600              -0.732              -0.743              -0.011                 220
              1M53_A              12.500              -0.567              -0.559               0.008                 556
              1MBB_A              16.700              -0.714              -0.733              -0.019                 340
              1MJ9_A              21.700              -0.796              -0.764               0.033                 273
              1MLA_A              18.700              -0.665              -0.681              -0.016                 305
              1MRQ_A              14.600              -0.641              -0.660              -0.019                 323
              1MUD_A              12.000              -0.466              -0.405               0.060                 225
              1MUG_A              17.900              -0.429              -0.390               0.040                 165
              1NDH_A              15.100              -0.643              -0.610               0.033                 270
              1NDI_A              18.700              -0.534              -0.543              -0.009                 596
              1NLU_A              18.300              -0.790              -0.778               0.012                 368
              1O8A_A              20.200              -0.623              -0.618               0.005                 574
              1O98_A              15.000              -0.640              -0.660              -0.020                 509
              1OG1_A              13.800              -0.589              -0.560               0.029                 223
              1OGO_X              19.200              -0.758              -0.738               0.020                 572
              1OJ4_A              15.000              -0.776              -0.765               0.011                 277
              1ONR_A              24.700              -0.747              -0.710               0.037                 316
              1OPM_A              16.100              -0.660              -0.665              -0.006                 310
              1OXA_A              22.300              -0.782              -0.807              -0.025                 403
              1OYG_A               7.600              -0.562              -0.470               0.092                 440
              1P1X_A              19.000              -0.798              -0.784               0.014                 250
              1P3D_A              17.500              -0.506              -0.503               0.003                 449
              1P5D_X              13.100              -0.646              -0.613               0.034                 454
              1PA9_A              15.800              -0.850              -0.862              -0.012                 279
              1PII_A              16.500              -0.550              -0.540               0.010                 452
              1PKN_A              33.800              -0.251              -0.227               0.024                 514
              1PMI_A              16.500              -0.726              -0.695               0.031                 440
              1PP4_A              14.000              -0.782              -0.778               0.004                 233
              1PS9_A              27.500              -0.756              -0.736               0.020                 671
              1PTD_A              18.200              -0.722              -0.688               0.034                 296
              1PUD_A              11.200              -0.485              -0.428               0.058                 372
              1PYL_A              17.400              -0.788              -0.802              -0.014                  95
              1Q91_A              27.600              -0.717              -0.691               0.026                 194
              1QAM_A              16.900              -0.723              -0.730              -0.007                 235
              1QAZ_A              15.800              -0.805              -0.808              -0.003                 351
              1QBA_A              19.100              -0.754              -0.777              -0.023                 858
              1QFM_A              16.900              -0.773              -0.750               0.023                 705
              1QGX_A              21.700              -0.848              -0.843               0.005                 354
              1QJE_A              14.400              -0.731              -0.698               0.033                 327
              1QK2_A              14.400              -0.728              -0.707               0.021                 363
              1QWN_A              21.200              -0.881              -0.908              -0.027                1014
              1R1J_A              16.600              -0.685              -0.764              -0.079                 696
              1R44_A              18.300              -0.728              -0.745              -0.016                 202
              1R4Z_A              14.500              -0.702              -0.682               0.020                 179
              1RBN_A              13.400              -0.766              -0.762               0.003                 124
              1RDD_A              36.000              -0.587              -0.457               0.130                 155
              1RU4_A              19.700              -0.794              -0.785               0.008                 400
              1S3I_A              28.200              -0.693              -0.668               0.025                 307
              1S95_A              16.000              -0.294              -0.238               0.056                 324
              1SCA_A              15.200              -0.695              -0.686               0.009                 274
              1SLL_A              15.600              -0.739              -0.742              -0.003                 679
              1SML_A              40.500              -0.697              -0.668               0.029                 266
              1SNZ_A              16.900              -0.695              -0.703              -0.007                 344
              1TAH_B              16.400              -0.352              -0.336               0.016                 318
              1TLP_E              15.600              -0.554              -0.545               0.008                 316
              1U3F_A              25.200              -0.714              -0.622               0.092                 164
              1U5U_A              44.300              -0.693              -0.623               0.070                 366
              1UAS_A              23.800              -0.800              -0.810              -0.011                 362
              1UN1_A              17.200              -0.760              -0.758               0.002                 267
              1VID_A              17.700              -0.706              -0.667               0.039                 213
              1VLB_A              21.300              -0.822              -0.842              -0.019                 907
              1VNC_A              19.100              -0.649              -0.668              -0.018                 576
              1VQ1_A              13.600              -0.292              -0.249               0.044                 263
              1W0H_A              13.100              -0.455              -0.428               0.027                 194
              1XQW_A              28.800              -0.779              -0.783              -0.003                 290
              1Y9M_A              19.100              -0.706              -0.711              -0.004                 517
              1YON_A              15.200              -0.560              -0.487               0.073                 292
              1YSC_A               6.100              -0.453              -0.404               0.049                 421
              1ZE1_A              50.000              -0.415              -0.338               0.077                 308
              1ZIO_A              13.400              -0.663              -0.685              -0.023                 217
              206L_A              18.100              -0.511              -0.438               0.072                 162
              2A0N_A               7.200              -0.399              -0.345               0.055                 251
              2ABK_A              19.500              -0.570              -0.581              -0.010                 211
              2ACY_A              13.300              -0.634              -0.561               0.073                  98
              2AYH_A              17.700              -0.716              -0.707               0.009                 214
              2CPO_A              18.300              -0.822              -0.831              -0.009                 298
              2CPU_A              16.000              -0.546              -0.555              -0.009                 495
              2DLN_A              27.800              -0.809              -0.746               0.062                 306
              2EBN_A              18.400              -0.814              -0.822              -0.008                 285
              2ENG_A              13.200              -0.828              -0.816               0.012                 205
              2F61_A              16.700              -0.454              -0.427               0.027                 497
              2F9R_A               9.900              -0.731              -0.733              -0.002                 285
              2NLR_A              23.300              -0.762              -0.729               0.033                 222
              2NMT_A              43.300              -0.472              -0.437               0.035                 422
              2PEC_A              15.900              -0.748              -0.767              -0.019                 352
              2PIA_A              18.000              -0.606              -0.639              -0.033                 321
              2PTH_A              17.200              -0.856              -0.843               0.013                 193
              2SQC_A              27.100              -0.722              -0.726              -0.004                 623
              2THI_A              15.200              -0.659              -0.625               0.034                 362
              2TPS_A              15.700              -0.756              -0.752               0.004                 226
              5EAT_A              15.300              -0.644              -0.654              -0.010                 532
              7ATJ_A              24.600              -0.593              -0.596              -0.003                 305
