                 pdb     free_param_best         sp_cor_best                nres
              132L_A               3.600              -0.539                 124
              13PK_A              16.200              -0.563                 415
              1A26_A               3.600              -0.513                 351
              1A2T_A               3.000              -0.405                 134
              1A4L_A               4.400              -0.501                 348
              1A65_A               3.600              -0.499                 504
              1A8H_A               4.200              -0.263                 500
              1A8S_A               4.000              -0.420                 273
              1AF7_A               5.000              -0.617                 274
              1AGM_A               2.600              -0.278                 470
              1AGY_A               2.400              -0.488                 197
              1AH7_A               3.600              -0.449                 245
              1AJ0_A              11.800              -0.489                 282
              1AK0_A               4.000              -0.544                 264
              1AKO_A               2.800              -0.443                 268
              1AMY_A               4.800              -0.420                 403
              1AQ2_A              14.200              -0.594                 534
              1AQL_A               3.600              -0.483                 532
              1AST_A               3.400              -0.546                 200
              1B04_A               3.000              -0.413                 310
              1B2R_A               5.600              -0.444                 295
              1BBS_A               3.400              -0.560                 331
              1BF2_A              22.000              -0.402                 750
              1BG0_A               4.000              -0.586                 356
              1BH2_A              18.000              -0.559                 315
              1BOL_A               3.400              -0.397                 222
              1BP2_A               4.800              -0.550                 123
              1BQC_A               7.000              -0.507                 302
              1BS0_A               3.600              -0.448                 383
              1BS4_A              14.000              -0.539                 168
              1BS9_A               3.200              -0.409                 207
              1BT1_A               4.400              -0.445                 336
              1BU7_A               3.400              -0.322                 455
              1BVV_A               5.200              -0.348                 185
              1BVZ_A               4.000              -0.463                 585
              1BWL_A               3.800              -0.469                 399
              1BWZ_A              18.800              -0.557                 274
              1BYA_A               3.800              -0.439                 491
              1BZC_A               6.600              -0.612                 297
              1C82_A               3.000              -0.454                 719
              1CA2_A               6.200              -0.553                 256
              1CB8_A               3.800              -0.528                 674
              1CBX_A               3.200              -0.501                 307
              1CDG_A               2.800              -0.297                 686
              1CEL_A               3.000              -0.526                 433
              1CHD_A               2.200              -0.431                 198
              1CHK_B               3.800              -0.353                 238
              1CM0_A              42.400              -0.349                 162
              1CNS_A               2.600              -0.516                 243
              1COY_A               3.400              -0.462                 501
              1CQQ_A              49.800              -0.334                 180
              1CVR_A               3.200              -0.383                 432
              1CWY_A               6.600              -0.565                 500
              1CZ1_A               9.000              -0.566                 394
              1CZF_A               2.800              -0.382                 335
              1D1Q_A               3.200              -0.541                 159
              1D4C_A               2.800              -0.470                 570
              1D6O_A               3.600              -0.301                 107
              1DDJ_A               4.200              -0.619                 247
              1DGK_N               4.400              -0.498                 898
              1DGS_A               5.600              -0.377                 581
              1DIN_A               3.400              -0.555                 232
              1DNP_A               4.200              -0.571                 469
              1DVE_A               4.400              -0.491                 214
              1E0C_A               2.800              -0.506                 270
              1E1A_A               6.000              -0.334                 312
              1E6E_A               6.800              -0.634                 457
              1EB6_A               4.200              -0.389                 177
              1EH5_A               4.200              -0.531                 279
              1EUG_A               3.400              -0.615                 225
              1EUU_A               2.800              -0.138                 601
              1EX1_A               3.600              -0.455                 602
              1EXN_A               8.800              -0.305                 267
              1EXP_A              13.200              -0.515                 312
              1EYP_A               3.800              -0.259                 212
              1FF3_A               4.200              -0.462                 210
              1FGH_A               8.800              -0.632                 753
              1FHL_A               8.800              -0.467                 334
              1FOA_A               8.800              -0.572                 342
              1G24_A              12.000              -0.432                 210
              1G6T_A               6.800              -0.573                 427
              1G8O_A               3.200              -0.441                 287
              1GA8_A              46.200              -0.543                 271
              1GAL_A               4.200              -0.468                 581
              1GCU_A               3.200              -0.408                 292
              1GOG_A               3.000              -0.342                 639
              1GP5_A               3.400              -0.438                 346
              1GQ8_A               2.400              -0.491                 318
              1H19_A               6.600              -0.594                 610
              1H3I_A               5.000              -0.205                 293
              1HKA_A              43.600              -0.455                 158
              1HPL_A               2.800              -0.569                 449
              1HPM_A              35.800              -0.592                 378
              1HQC_A               9.600              -0.331                 314
              1I1E_A               2.400              -0.363                1287
              1I1I_P              49.800              -0.398                 665
              1I9A_A               4.400              -0.505                 175
              1IDJ_A               2.400              -0.563                 359
              1IG8_A              11.200              -0.560                 469
              1IM5_A               3.600              -0.520                 179
              1INP_A              49.000              -0.430                 400
              1IU4_A               3.200              -0.286                 331
