"pdb","varea","variable","value"
"132L_A","vareaAA","ddgent",0.712107002360346
"132L_A","vareaAA","hbe",0.537242328813484
"132L_A","vareaAA","hpshh",0.509246378799037
"132L_A","vareaAA","r4s_JC",0.624597557203831
"132L_A","vareaAA","rsa",0.952796732494814
"132L_A","vareaAA","seqent",0.529285045532083
"132L_A","vareaCA","ddgent",0.668928402832416
"132L_A","vareaCA","hbe",0.524551441191024
"132L_A","vareaCA","hpshh",0.411254537602189
"132L_A","vareaCA","r4s_JC",0.62850318023113
"132L_A","vareaCA","rsa",0.885940431799738
"132L_A","vareaCA","seqent",0.551494504301132
"132L_A","vareaSC","ddgent",0.731751376868607
"132L_A","vareaSC","hbe",0.478182948781299
"132L_A","vareaSC","hpshh",0.536269251265134
"132L_A","vareaSC","r4s_JC",0.644698455088893
"132L_A","vareaSC","rsa",0.942964738377714
"132L_A","vareaSC","seqent",0.556196350893304
"13PK_A","vareaAA","ddgent",0.762047049487543
"13PK_A","vareaAA","hbe",0.349259168274188
"13PK_A","vareaAA","hpshh",0.440335761161517
"13PK_A","vareaAA","r4s_JC",0.557059222591471
"13PK_A","vareaAA","rsa",0.920801638292691
"13PK_A","vareaAA","seqent",0.464275040156971
"13PK_A","vareaCA","ddgent",0.72863539142504
"13PK_A","vareaCA","hbe",0.357325341715758
"13PK_A","vareaCA","hpshh",0.393023593608503
"13PK_A","vareaCA","r4s_JC",0.52834424092893
"13PK_A","vareaCA","rsa",0.859955653166831
"13PK_A","vareaCA","seqent",0.434235420438315
"13PK_A","vareaSC","ddgent",0.780598648775705
"13PK_A","vareaSC","hbe",0.287191882479407
"13PK_A","vareaSC","hpshh",0.477442564342937
"13PK_A","vareaSC","r4s_JC",0.576828919255725
"13PK_A","vareaSC","rsa",0.926486749780802
"13PK_A","vareaSC","seqent",0.488577737271648
"1A26_A","vareaAA","ddgent",0.791101398601399
"1A26_A","vareaAA","hbe",0.365322358209443
"1A26_A","vareaAA","hpshh",0.495513663468515
"1A26_A","vareaAA","r4s_JC",0.672878966723955
"1A26_A","vareaAA","rsa",0.943354785867988
"1A26_A","vareaAA","seqent",0.566746864246864
"1A26_A","vareaCA","ddgent",0.754616408217923
"1A26_A","vareaCA","hbe",0.381803417620977
"1A26_A","vareaCA","hpshh",0.414248819991684
"1A26_A","vareaCA","r4s_JC",0.636810957127382
"1A26_A","vareaCA","rsa",0.878231708907937
