"pdb","bf","variable","value"
"132L_A","bfAA","ddgent",0.505007081038552
"132L_A","bfAA","hbe",0.465929677973406
"132L_A","bfAA","hpshh",0.426858494793545
"132L_A","bfAA","r4s_JC",0.538038124695496
"132L_A","bfAA","resvol",0.180345660715518
"132L_A","bfAA","rsa",0.716945359045406
"132L_A","bfAA","seqent",0.49769077649673
"132L_A","bfC","ddgent",0.256236270317254
"132L_A","bfC","hbe",0.426769645592405
"132L_A","bfC","hpshh",0.181240305895848
"132L_A","bfC","r4s_JC",0.312626874722171
"132L_A","bfC","resvol",-0.0249362802129371
"132L_A","bfC","rsa",0.431805503048012
"132L_A","bfC","seqent",0.259549216366636
"132L_A","bfCA","ddgent",0.309686901606451
"132L_A","bfCA","hbe",0.28456851620243
"132L_A","bfCA","hpshh",0.0747704910876662
"132L_A","bfCA","r4s_JC",0.301930348840706
"132L_A","bfCA","resvol",-0.0514922824601063
"132L_A","bfCA","rsa",0.360080932183905
"132L_A","bfCA","seqent",0.275960609449042
"132L_A","bfCB","ddgent",0.43683427880407
"132L_A","bfCB","hbe",0.444866178728286
"132L_A","bfCB","hpshh",0.312638662368523
"132L_A","bfCB","r4s_JC",0.440917151989015
"132L_A","bfCB","resvol",-0.012309027778832
"132L_A","bfCB","rsa",0.580498344820595
"132L_A","bfCB","seqent",0.413504539803931
"132L_A","bfN","ddgent",0.249465769947578
"132L_A","bfN","hbe",0.401718712798651
"132L_A","bfN","hpshh",0.111133480214282
"132L_A","bfN","r4s_JC",0.251358011480941
"132L_A","bfN","resvol",-0.0330320932902441
"132L_A","bfN","rsa",0.390268997134204
"132L_A","bfN","seqent",0.247876831857349
"132L_A","bfO","ddgent",0.347799130348941
"132L_A","bfO","hbe",0.547438381528704
"132L_A","bfO","hpshh",0.32971074848091
"132L_A","bfO","r4s_JC",0.375064125915645
"132L_A","bfO","resvol",-0.0327171199119888
"132L_A","bfO","rsa",0.575070592244293
"132L_A","bfO","seqent",0.333041161743962
"132L_A","bfSC","ddgent",0.538015008678886
"132L_A","bfSC","hbe",0.425841184693304
"132L_A","bfSC","hpshh",0.454661649330991
"132L_A","bfSC","r4s_JC",0.53904448988518
"132L_A","bfSC","resvol",0.286468586988748
"132L_A","bfSC","rsa",0.72082986339306
"132L_A","bfSC","seqent",0.492923615338941
"13PK_A","bfAA","ddgent",0.522928189468921
"13PK_A","bfAA","hbe",0.179621715165303
"13PK_A","bfAA","hpshh",0.393927065550752
"13PK_A","bfAA","r4s_JC",0.384456832589121
"13PK_A","bfAA","resvol",0.112765009702301
"13PK_A","bfAA","rsa",0.558538305828334
"13PK_A","bfAA","seqent",0.328007456113719
