"variable","coef","abs.coef"
"(Intercept)",130.346645599952,130.346645599952
"r.hbe.wcnSC",-0.250107364492949,0.250107364492949
"r.bfSC.hbe",0.119597339673376,0.119597339673376
"r.hbe.veccentricity",0.118269251940805,0.118269251940805
"mean.nhbps",-0.106652154302672,0.106652154302672
"median.hbe",0.104783834342915,0.104783834342915
"r.hbe.vnfaces",-0.101704479180974,0.101704479180974
"r.ddgent.hbe",0.0911355275916094,0.0911355275916094
"r.varea.veccentricity",-0.0801942736810244,0.0801942736810244
"r.veccentricity.vvolume",-0.0665328826825834,0.0665328826825834
"sum.ISS",-0.0664618239935596,0.0664618239935596
"sd.r4sJC",-0.0621827141702064,0.0621827141702064
"sd.hpshh",-0.0447658320398953,0.0447658320398953
"mean.ISS",-0.0427835768226047,0.0427835768226047
"r.veccentricity.vnfaces",0.0362784853491329,0.0362784853491329
"r.hbe.vedge",0.025765777522171,0.025765777522171
"sd.bfSC",0.0240744843606387,0.0240744843606387
"mean.TSS",0.0231569896575283,0.0231569896575283
"sd.seqent",-0.0220804115038511,0.0220804115038511
"median.seqent",0.0210755289697338,0.0210755289697338
"median.r4sJC",0.0196667422486492,0.0196667422486492
"r.hbe.rsa",0.0195775929900637,0.0195775929900637
"sd.vsphericitycc",-0.0177761258424975,0.0177761258424975
"sum.GSS",0.0163178603516653,0.0163178603516653
"sd.vnfacescc",-0.0161232017842702,0.0161232017842702
"r.ddgent.hpshh",-0.0123334264038157,0.0123334264038157
"median.vnfacescc",0.0119841087517591,0.0119841087517591
"mean.BSS",0.0103434363992426,0.0103434363992426
"contact_orderSC",0.0103267380257348,0.0103267380257348
"r.rsa.vsphericity",-0.00916458457383628,0.00916458457383628
"sd.hbe",-0.00756267902319126,0.00756267902319126
"r.hpshh.vsphericitym",0.00656977583076893,0.00656977583076893
"r.bfSC.vnfaces",0.00642770773876655,0.00642770773876655
"r.hpshh.veccentricity",-0.00391953034656987,0.00391953034656987
"r.hpshh.wcnSC",0.00359725433849259,0.00359725433849259
"mean.betas",0,0
"mean.bfSC",0,0
"mean.ddgent",0,0
"mean.ESS",0,0
"mean.GSS",0,0
"mean.hbdif",0,0
"mean.hbe",0,0
"mean.helix",0,0
"mean.hpshh",0,0
"mean.HSS",0,0
"mean.LSS",0,0
"mean.nhbas",0,0
"mean.nhbon",0,0
"mean.nhbpa.dif",0,0
"mean.r4sJC",0,0
"mean.rsa",0,0
"mean.seqent",0,0
"mean.SSS",0,0
"mean.varea",0,0
"mean.veccentricity",0,0
"mean.vedge",0,0
"mean.vnfaces",0,0
"mean.vnfacescc",0,0
"mean.vsphericity",0,0
"mean.vsphericitycc",0,0
"mean.vsphericitym",0,0
"mean.vvolume",0,0
"mean.wcnSC",0,0
"median.bfSC",0,0
"median.ddgent",0,0
"median.hpshh",0,0
"median.rsa",0,0
"median.varea",0,0
"median.veccentricity",0,0
"median.vedge",0,0
"median.vnfaces",0,0
"median.vsphericity",0,0
"median.vsphericitycc",0,0
"median.vsphericitym",0,0
"median.vvolume",0,0
"median.wcnSC",0,0
"natoms",0,0
"nchain",0,0
"nres",0,0
"nseq",0,0
"r.bfSC.ddgent",0,0
"r.bfSC.hpshh",0,0
"r.bfSC.rsa",0,0
"r.bfSC.varea",0,0
