"variable","coef","abs.coef"
"(Intercept)",36.6877102604522,36.6877102604522
"sd.seqent",0.140049400172148,0.140049400172148
"sd.r4sJC",0.116960149730053,0.116960149730053
"mean.TSS",0.109236010821158,0.109236010821158
"sd.hbe",-0.108600507877909,0.108600507877909
"median.seqent",0.105123136130783,0.105123136130783
"r.varea.vsphericity",0.100370537817327,0.100370537817327
"r.bfSC.rsa",0.0772520002578336,0.0772520002578336
"r.veccentricity.vvolume",-0.072743347869889,0.072743347869889
"r.hbe.wcnSC",0.0623534837529795,0.0623534837529795
"mean.r4sJC",0.0585397611187331,0.0585397611187331
"r.ddgent.vedge",0.0555712257320494,0.0555712257320494
"r.vvolume.wcnSC",-0.0549253167377149,0.0549253167377149
"sum.BSS",-0.0548558538996443,0.0548558538996443
"mean.GSS",0.0504162103102819,0.0504162103102819
"mean.helix",0.0459122486096773,0.0459122486096773
"r.hbe.hpshh",0.0423957843966921,0.0423957843966921
"r.vedge.vvolume",-0.0376057147205758,0.0376057147205758
"r.vnfaces.wcnSC",0.0346840028634429,0.0346840028634429
"mean.vsphericitycc",0.0316831734068157,0.0316831734068157
"r.hbe.vnfaces",-0.0294779260201449,0.0294779260201449
"mean.seqent",0.0234451086114568,0.0234451086114568
"r.varea.veccentricity",-0.0226965710212629,0.0226965710212629
"r.veccentricity.vsphericity",0.0205483340172127,0.0205483340172127
"r.hbe.varea",-0.0197134806885141,0.0197134806885141
"mean.ddgent",-0.0136278375322251,0.0136278375322251
"mean.SSS",0.0136042226199243,0.0136042226199243
"median.bfSC",-0.0130345251978642,0.0130345251978642
"mean.nhbas",-0.00949153668642241,0.00949153668642241
"r.ddgent.rsa",0.00788178282737466,0.00788178282737466
"median.vnfaces",-0.00738816734457279,0.00738816734457279
"sum.ISS",-0.00493435810943859,0.00493435810943859
"median.hpshh",0.00395847123535603,0.00395847123535603
"r.hpshh.vsphericity",-0.00279825106391996,0.00279825106391996
"r.vnfaces.vsphericitym",0.00181897320205022,0.00181897320205022
"contact_orderSC",0.000682612751489751,0.000682612751489751
"mean.betas",0,0
"mean.bfSC",0,0
"mean.BSS",0,0
"mean.ESS",0,0
"mean.hbdif",0,0
"mean.hbe",0,0
"mean.hpshh",0,0
"mean.HSS",0,0
"mean.ISS",0,0
"mean.LSS",0,0
"mean.nhbon",0,0
"mean.nhbpa.dif",0,0
"mean.nhbps",0,0
"mean.rsa",0,0
"mean.varea",0,0
"mean.veccentricity",0,0
"mean.vedge",0,0
"mean.vnfaces",0,0
"mean.vnfacescc",0,0
"mean.vsphericity",0,0
"mean.vsphericitym",0,0
"mean.vvolume",0,0
"mean.wcnSC",0,0
"median.ddgent",0,0
"median.hbe",0,0
"median.r4sJC",0,0
"median.rsa",0,0
"median.varea",0,0
"median.veccentricity",0,0
"median.vedge",0,0
"median.vnfacescc",0,0
"median.vsphericity",0,0
