                 pdb     free_param_best         sp_cor_best                nres
              132L_A              23.000              -0.990                 124
              13PK_A              33.500              -0.991                 415
              1A26_A              32.700              -0.991                 351
              1A2T_A              25.200              -0.992                 134
              1A4L_A              30.200              -0.995                 348
              1A65_A              34.700              -0.994                 504
              1A8H_A              40.000              -0.985                 500
              1A8S_A              29.700              -0.995                 273
              1AF7_A              35.400              -0.982                 274
              1AGM_A              33.300              -0.994                 470
              1AGY_A              25.100              -0.995                 197
              1AH7_A              28.800              -0.992                 245
              1AJ0_A              27.400              -0.994                 282
              1AK0_A              29.200              -0.994                 264
              1AKO_A              30.800              -0.995                 268
              1AMY_A              34.100              -0.992                 403
              1AQ2_A              37.100              -0.994                 534
              1AQL_A              37.300              -0.995                 532
              1AST_A              28.100              -0.990                 200
              1B04_A              32.700              -0.993                 310
              1B2R_A              31.300              -0.992                 295
              1BBS_A              31.800              -0.991                 331
              1BF2_A              42.200              -0.993                 750
              1BG0_A              32.200              -0.992                 356
              1BH2_A              32.900              -0.990                 315
              1BOL_A              29.600              -0.990                 222
              1BP2_A              21.900              -0.989                 123
              1BQC_A              30.800              -0.996                 302
              1BS0_A              32.700              -0.991                 383
              1BS4_A              25.700              -0.992                 168
              1BS9_A              24.000              -0.993                 207
              1BT1_A              31.100              -0.995                 336
              1BU7_A              34.600              -0.994                 455
              1BVV_A              26.000              -0.992                 185
              1BVZ_A              40.600              -0.991                 585
              1BWL_A              32.800              -0.994                 399
              1BWZ_A              29.600              -0.991                 274
              1BYA_A              34.000              -0.995                 491
              1BZC_A              28.900              -0.995                 297
              1C82_A              42.300              -0.991                 719
              1CA2_A              29.600              -0.995                 256
              1CB8_A              42.200              -0.985                 674
              1CBX_A              30.300              -0.995                 307
              1CDG_A              41.200              -0.992                 686
              1CEL_A              33.000              -0.994                 433
              1CHD_A              25.400              -0.995                 198
              1CHK_B              28.600              -0.984                 238
              1CM0_A              25.100              -0.993                 162
              1CNS_A              27.200              -0.992                 243
              1COY_A              35.200              -0.994                 501
              1CQQ_A              23.500              -0.994                 180
              1CVR_A              35.200              -0.990                 432
              1CWY_A              36.300              -0.993                 500
              1CZ1_A              32.900              -0.996                 394
              1CZF_A              31.100              -0.991                 335
              1D1Q_A              24.400              -0.994                 159
              1D4C_A              36.800              -0.993                 570
              1D6O_A              22.000              -0.986                 107
              1DDJ_A              27.200              -0.995                 247
              1DGK_N              50.000              -0.981                 898
              1DGS_A              48.700              -0.984                 581
              1DIN_A              26.000              -0.995                 232
              1DNP_A              37.400              -0.991                 469
              1DVE_A              26.200              -0.993                 214
              1E0C_A              29.000              -0.991                 270
              1E1A_A              26.600              -0.996                 312
              1E6E_A              36.600              -0.990                 457
              1EB6_A              23.400              -0.993                 177
              1EH5_A              29.600              -0.994                 279
              1EUG_A              26.400              -0.994                 225
              1EUU_A              46.400              -0.985                 601
              1EX1_A              38.000              -0.992                 602
              1EXN_A              30.400              -0.988                 267
              1EXP_A              29.700              -0.993                 312
              1EYP_A              24.900              -0.992                 212
              1FF3_A              26.300              -0.992                 210
              1FGH_A              41.000              -0.994                 753
              1FHL_A              30.900              -0.994                 334
              1FOA_A              31.600              -0.994                 342
              1G24_A              27.300              -0.991                 210
              1G6T_A              33.100              -0.993                 427
              1G8O_A              29.800              -0.996                 287
              1GA8_A              28.900              -0.995                 271
              1GAL_A              36.100              -0.994                 581
              1GCU_A              30.800              -0.994                 292
              1GOG_A              39.800              -0.986                 639
              1GP5_A              32.800              -0.994                 346
              1GQ8_A              30.600              -0.993                 318
              1H19_A              40.000              -0.994                 610
              1H3I_A              35.000              -0.986                 293
              1HKA_A              24.900              -0.991                 158
              1HPL_A              39.300              -0.975                 449
              1HPM_A              33.700              -0.992                 378
              1HQC_A              37.700              -0.987                 314
              1I1E_A              50.000              -0.943                1287
              1I1I_P              42.900              -0.992                 665
              1I9A_A              24.300              -0.992                 175
              1IDJ_A              30.300              -0.991                 359
              1IG8_A              38.200              -0.986                 469
              1IM5_A              22.500              -0.991                 179
              1INP_A              34.900              -0.995                 400
              1IU4_A              31.400              -0.991                 331
              1J00_A              23.100              -0.994                 176
              1J09_A              49.500              -0.983                 468
              1JH6_A              26.400              -0.990                 181
              1JMS_A              34.100              -0.992                 360
              1JOA_A              38.600              -0.991                 446
              1JS4_A              44.400              -0.976                 605
              1K30_A              34.100              -0.991                 363
              1KL7_A              35.900              -0.996                 503
              1KNP_A              36.300              -0.995                 529
              1L1D_A              25.400              -0.992                 142
              1L1L_A              43.200              -0.992                 717
              1L6P_A              23.400              -0.989                 121
              1L7N_A              25.900              -0.992                 207
              1L7Q_A              37.200              -0.994                 571
              1L8T_A              29.700              -0.992                 263
              1L9X_A              29.100              -0.994                 288
              1LBA_A              22.400              -0.995                 146
              1LDM_A              31.000              -0.982                 329
              1LJL_A              22.500              -0.992                 130
              1LVH_A              29.900              -0.983                 220
              1M53_A              39.100              -0.995                 556
              1MBB_A              32.100              -0.992                 340
              1MJ9_A              31.400              -0.992                 273
              1MLA_A              31.300              -0.992                 305
              1MRQ_A              29.200              -0.994                 323
              1MUD_A              28.500              -0.990                 225
              1MUG_A              22.900              -0.994                 165
              1NDH_A              29.100              -0.993                 270
              1NDI_A              39.800              -0.993                 596
              1NLU_A              31.500              -0.996                 368
              1O8A_A              39.200              -0.994                 574
              1O98_A              36.000              -0.992                 509
              1OG1_A              26.600              -0.993                 223
              1OGO_X              37.700              -0.994                 572
              1OJ4_A              29.500              -0.990                 277
              1ONR_A              29.100              -0.993                 316
              1OPM_A              30.300              -0.994                 310
              1OXA_A              30.700              -0.994                 403
              1OYG_A              34.400              -0.995                 440
              1P1X_A              26.500              -0.994                 250
              1P3D_A              32.700              -0.993                 449
              1P5D_X              34.600              -0.991                 454
              1PA9_A              28.800              -0.994                 279
              1PII_A              36.300              -0.990                 452
              1PKN_A              37.900              -0.991                 514
              1PMI_A              36.000              -0.988                 440
              1PP4_A              26.300              -0.991                 233
              1PS9_A              41.500              -0.989                 671
              1PTD_A              29.000              -0.994                 296
              1PUD_A              33.400              -0.991                 372
              1PYL_A              19.100              -0.991                  95
              1Q91_A              28.300              -0.991                 194
              1QAM_A              31.100              -0.980                 235
              1QAZ_A              33.700              -0.994                 351
              1QBA_A              44.200              -0.994                 858
              1QFM_A              39.900              -0.994                 705
              1QGX_A              31.600              -0.994                 354
              1QJE_A              30.400              -0.994                 327
              1QK2_A              32.000              -0.996                 363
              1QWN_A              46.900              -0.993                1014
              1R1J_A              41.000              -0.992                 696
              1R44_A              26.400              -0.992                 202
              1R4Z_A              22.500              -0.995                 179
              1RBN_A              24.400              -0.986                 124
              1RDD_A              24.400              -0.991                 155
              1RU4_A              33.100              -0.990                 400
              1S3I_A              35.400              -0.978                 307
              1S95_A              29.800              -0.996                 324
              1SCA_A              24.500              -0.996                 274
              1SLL_A              42.400              -0.984                 679
              1SML_A              29.000              -0.991                 266
              1SNZ_A              30.200              -0.995                 344
              1TAH_B              29.600              -0.995                 318
              1TLP_E              29.700              -0.991                 316
              1U3F_A              25.300              -0.992                 164
              1U5U_A              32.200              -0.996                 366
              1UAS_A              32.700              -0.991                 362
              1UN1_A              28.800              -0.995                 267
              1VID_A              26.400              -0.995                 213
              1VLB_A              42.700              -0.995                 907
              1VNC_A              35.900              -0.995                 576
              1VQ1_A              33.300              -0.977                 263
              1W0H_A              26.000              -0.991                 194
              1XQW_A              29.200              -0.992                 290
              1Y9M_A              36.300              -0.993                 517
              1YON_A              29.600              -0.992                 292
              1YSC_A              33.400              -0.996                 421
              1ZE1_A              39.600              -0.988                 308
              1ZIO_A              28.500              -0.990                 217
              206L_A              25.900              -0.984                 162
              2A0N_A              27.600              -0.995                 251
              2ABK_A              28.100              -0.991                 211
              2ACY_A              20.400              -0.990                  98
              2AYH_A              26.100              -0.995                 214
              2CPO_A              28.300              -0.995                 298
              2CPU_A              36.300              -0.990                 495
              2DLN_A              29.900              -0.991                 306
              2EBN_A              29.100              -0.993                 285
              2ENG_A              25.800              -0.995                 205
              2F61_A              35.700              -0.990                 497
              2F9R_A              28.000              -0.995                 285
              2NLR_A              25.600              -0.995                 222
              2NMT_A              34.100              -0.995                 422
              2PEC_A              31.700              -0.991                 352
              2PIA_A              32.300              -0.988                 321
              2PTH_A              27.000              -0.993                 193
              2SQC_A              37.700              -0.994                 623
              2THI_A              31.900              -0.994                 362
              2TPS_A              25.600              -0.996                 226
              5EAT_A              38.100              -0.992                 532
              7ATJ_A              30.300              -0.993                 305
